17:37:21.584 XYZ [[3.14, 6.33, 1.98], [1.25, 4.03, 1.99], [0.77, 4.62, 1.91], [2.72, 2.6, 1.65], [1.93, 2.78, 1.84], [1.28, 3.16, 1.68], [4.11, 5.91, 1.63], [4.14, 3.9, 1.94], [3.76, 3.35, 1.7], [2.14, 5.98, 1.93]]
17:37:21.668 XYZ [[3.15, 6.33, 2.0], [1.26, 4.06, 1.98], [0.8, 4.63, 1.89], [2.72, 2.48, 1.65], [1.89, 2.8, 1.84], [1.28, 3.15, 1.68], [4.11, 5.94, 1.62], [4.15, 3.88, 1.95], [3.75, 3.36, 1.7], [2.12, 5.98, 1.94]]
17:37:21.751 XYZ [[3.22, 6.28, 1.96], [1.33, 4.07, 1.96], [0.85, 4.64, 1.83], [2.76, 2.45, 1.66], [1.94, 2.79, 1.83], [1.28, 3.13, 1.66], [4.1, 6.0, 1.53], [4.16, 3.89, 1.95], [3.76, 3.4, 1.67], [2.1, 5.96, 1.92]]
17:37:21.835 XYZ [[3.25, 6.3, 1.94], [1.31, 4.06, 1.96], [0.84, 4.65, 1.8], [2.78, 2.4, 1.61], [2.0, 2.81, 1.79], [1.31, 3.13, 1.65], [4.19, 6.08, 1.58], [4.17, 3.87, 1.96], [3.74, 3.41, 1.66], [2.09, 5.95, 1.91]]
17:37:21.918 XYZ [[3.26, 6.31, 1.95], [1.29, 4.09, 1.93], [0.82, 4.68, 1.77], [2.87, 2.25, 1.59], [2.02, 2.81, 1.74], [1.3, 3.11, 1.65], [4.19, 6.1, 1.6], [4.18, 3.88, 2.0], [3.75, 3.42, 1.66], [2.06, 5.92, 1.89]]
17:37:22.002 XYZ [[3.29, 6.31, 1.98], [1.32, 4.05, 1.86], [0.8, 4.71, 1.76], [2.88, 2.19, 1.59], [2.05, 2.81, 1.74], [1.33, 3.1, 1.62], [4.22, 6.12, 1.59], [4.18, 3.88, 2.0], [3.79, 3.4, 1.7], [2.04, 5.93, 1.89]]
17:37:22.085 XYZ [[3.26, 6.3, 2.03], [1.11, 3.97, 1.89], [0.8, 4.72, 1.77], [3.03, 2.24, 1.52], [2.07, 2.83, 1.74], [1.29, 3.13, 1.6], [4.28, 6.13, 1.58], [4.21, 3.87, 2.02], [3.76, 3.41, 1.72], [2.05, 5.93, 1.91]]
17:37:22.169 XYZ [[3.27, 6.31, 2.04], [1.13, 3.98, 1.87], [0.78, 4.75, 1.73], [3.08, 2.2, 1.52], [2.07, 2.87, 1.72], [1.29, 3.13, 1.58], [4.31, 6.16, 1.55], [4.22, 3.86, 2.03], [3.75, 3.42, 1.74], [2.06, 5.98, 1.89]]
17:37:22.253 XYZ [[3.29, 6.31, 2.03], [1.02, 3.93, 1.8], [0.81, 4.77, 1.74], [3.1, 2.16, 1.51], [2.06, 2.89, 1.72], [1.34, 3.12, 1.55], [4.34, 6.2, 1.52], [4.22, 3.85, 2.03], [3.75, 3.43, 1.74], [2.02, 5.98, 1.9]]
17:37:22.336 XYZ [[3.31, 6.32, 2.03], [1.0, 3.92, 1.8], [0.84, 4.79, 1.74], [3.3, 2.19, 1.5], [2.05, 2.94, 1.71], [1.34, 3.12, 1.54], [4.35, 6.22, 1.52], [4.24, 3.85, 2.04], [3.74, 3.43, 1.73], [2.0, 5.99, 1.9]]
17:37:22.419 XYZ [[3.34, 6.26, 2.01], [0.86, 3.88, 1.72], [0.89, 4.81, 1.74], [3.5, 2.26, 1.54], [2.09, 3.02, 1.7], [1.34, 3.14, 1.57], [4.57, 6.25, 1.53], [4.24, 3.87, 2.08], [3.73, 3.42, 1.74], [1.97, 5.99, 1.89]]
17:37:22.503 XYZ [[3.39, 6.27, 2.0], [0.83, 3.85, 1.73], [0.88, 4.79, 1.71], [3.52, 2.26, 1.51], [2.12, 3.03, 1.68], [1.29, 3.13, 1.53], [4.68, 6.23, 1.5], [4.26, 3.85, 2.09], [3.72, 3.44, 1.71], [1.92, 6.0, 1.87]]
17:37:22.586 XYZ [[3.43, 6.16, 2.05], [0.71, 3.88, 1.76], [0.84, 4.81, 1.73], [3.53, 2.29, 1.46], [2.09, 3.01, 1.66], [1.28, 3.13, 1.52], [4.77, 6.2, 1.52], [4.26, 3.88, 2.04], [3.71, 3.44, 1.7], [1.92, 6.0, 1.85]]
17:37:22.670 XYZ [[3.44, 6.15, 2.05], [0.7, 3.8, 1.78], [0.83, 4.8, 1.74], [3.67, 2.34, 1.45], [2.11, 3.02, 1.69], [1.28, 3.12, 1.53], [4.79, 6.18, 1.55], [4.26, 3.88, 2.04], [3.71, 3.44, 1.7], [1.95, 6.0, 1.86]]
17:37:22.753 XYZ [[3.42, 6.12, 2.05], [0.71, 3.79, 1.78], [0.78, 4.8, 1.73], [3.75, 2.35, 1.4], [2.14, 2.98, 1.63], [1.28, 3.12, 1.53], [4.86, 6.2, 1.56], [4.26, 3.88, 2.04], [3.73, 3.45, 1.68], [2.0, 6.0, 1.88]]
17:37:22.837 XYZ [[3.43, 6.11, 2.01], [0.73, 3.81, 1.81], [0.78, 4.79, 1.75], [3.83, 2.35, 1.38], [2.15, 2.97, 1.61], [1.28, 3.12, 1.53], [4.96, 6.21, 1.59], [4.26, 3.88, 2.04], [3.75, 3.47, 1.68], [2.03, 6.0, 1.9]]
17:37:22.920 XYZ [[3.43, 6.11, 1.96], [0.71, 3.82, 1.79], [0.75, 4.79, 1.8], [3.98, 2.41, 1.34], [2.19, 2.98, 1.59], [1.28, 3.12, 1.53], [5.0, 6.22, 1.59], [4.26, 3.88, 2.04], [3.77, 3.5, 1.67], [2.05, 6.05, 1.92]]
17:37:23.007 XYZ [[3.45, 6.08, 1.96], [0.65, 3.81, 1.84], [0.72, 4.76, 1.8], [4.13, 2.44, 1.31], [2.2, 3.02, 1.57], [1.26, 3.13, 1.53], [5.06, 6.25, 1.58], [4.2, 3.92, 2.13], [3.74, 3.46, 1.74], [2.08, 6.07, 1.93]]
