20:22:21.056 XYZ [[2.85, 2.19, 1.34], [2.5, 3.41, 1.49], [1.67, 3.19, 1.5], [2.53, 2.13, 0.69], [0.0, 0.0, 0.0], [2.52, 3.07, 1.04]]
20:22:21.140 XYZ [[2.82, 2.16, 1.34], [2.53, 3.42, 1.5], [1.71, 3.25, 1.59], [2.49, 2.14, 0.68], [0.0, 0.0, 0.0], [2.56, 3.08, 1.01]]
20:22:21.223 XYZ [[2.79, 2.14, 1.36], [2.55, 3.43, 1.49], [1.75, 3.27, 1.6], [2.48, 2.13, 0.7], [0.0, 0.0, 0.0], [2.58, 3.06, 1.01]]
20:22:21.307 XYZ [[2.71, 2.09, 1.4], [2.59, 3.43, 1.49], [1.79, 3.35, 1.64], [2.42, 2.12, 0.74], [0.0, 0.0, 0.0], [2.61, 3.05, 1.01]]
20:22:21.390 XYZ [[2.65, 2.05, 1.42], [2.64, 3.4, 1.46], [1.85, 3.4, 1.64], [2.32, 2.14, 0.72], [0.0, 0.0, 0.0], [2.66, 3.01, 1.02]]
20:22:21.474 XYZ [[2.55, 2.0, 1.44], [2.66, 3.38, 1.45], [1.88, 3.44, 1.65], [2.24, 2.12, 0.71], [0.0, 0.0, 0.0], [2.69, 3.01, 1.01]]
20:22:21.557 XYZ [[2.49, 1.97, 1.47], [2.66, 3.35, 1.42], [1.91, 3.51, 1.68], [2.21, 2.09, 0.69], [0.0, 0.0, 0.0], [2.75, 2.99, 1.01]]
20:22:21.641 XYZ [[2.4, 1.94, 1.52], [2.67, 3.32, 1.4], [1.91, 3.55, 1.71], [2.13, 2.08, 0.64], [0.0, 0.0, 0.0], [2.78, 2.99, 1.02]]
20:22:21.724 XYZ [[2.34, 1.92, 1.52], [2.68, 3.3, 1.4], [1.89, 3.61, 1.73], [2.1, 2.1, 0.63], [0.0, 0.0, 0.0], [2.8, 2.99, 1.02]]
20:22:21.808 XYZ [[2.24, 1.89, 1.52], [2.68, 3.3, 1.4], [1.87, 3.68, 1.74], [2.04, 2.1, 0.59], [0.0, 0.0, 0.0], [2.82, 2.98, 1.02]]
20:22:21.891 XYZ [[2.19, 1.85, 1.56], [2.67, 3.26, 1.38], [1.83, 3.72, 1.74], [1.99, 2.1, 0.58], [0.0, 0.0, 0.0], [2.85, 2.98, 1.05]]
20:22:21.975 XYZ [[2.13, 1.82, 1.56], [2.68, 3.23, 1.38], [1.83, 3.73, 1.73], [1.97, 2.07, 0.61], [0.0, 0.0, 0.0], [2.85, 2.98, 1.05]]
20:22:22.058 XYZ [[2.09, 1.82, 1.58], [2.64, 3.2, 1.35], [1.79, 3.79, 1.68], [1.95, 2.07, 0.61], [0.0, 0.0, 0.0], [2.85, 2.98, 1.0]]
20:22:22.142 XYZ [[2.05, 1.81, 1.6], [2.58, 3.2, 1.41], [1.74, 3.83, 1.65], [1.92, 2.08, 0.56], [0.0, 0.0, 0.0], [2.82, 3.02, 0.95]]
20:22:22.225 XYZ [[2.02, 1.79, 1.63], [2.57, 3.19, 1.41], [1.72, 3.86, 1.64], [1.87, 2.06, 0.55], [0.0, 0.0, 0.0], [2.8, 3.04, 0.93]]
20:22:22.309 XYZ [[2.02, 1.81, 1.64], [2.55, 3.17, 1.43], [1.71, 3.9, 1.63], [1.85, 2.07, 0.57], [0.0, 0.0, 0.0], [2.82, 3.02, 0.91]]
20:22:22.392 XYZ [[2.02, 1.86, 1.66], [2.54, 3.18, 1.46], [1.7, 3.95, 1.6], [1.8, 2.08, 0.61], [0.0, 0.0, 0.0], [2.8, 3.01, 0.9]]
20:22:22.476 XYZ [[2.0, 1.87, 1.67], [2.53, 3.18, 1.45], [1.71, 3.97, 1.59], [1.76, 2.09, 0.63], [0.0, 0.0, 0.0], [2.81, 3.02, 0.9]]
20:22:22.559 XYZ [[1.95, 1.91, 1.7], [2.54, 3.2, 1.49], [1.71, 4.02, 1.58], [1.66, 2.07, 0.67], [0.0, 0.0, 0.0], [2.83, 2.99, 0.9]]
20:22:22.643 XYZ [[1.91, 1.97, 1.69], [2.54, 3.24, 1.5], [1.71, 4.05, 1.58], [1.58, 2.09, 0.73], [0.0, 0.0, 0.0], [2.89, 2.96, 0.91]]
20:22:22.730 XYZ [[1.85, 2.0, 1.69], [2.53, 3.27, 1.5], [1.69, 4.11, 1.55], [1.51, 2.16, 0.75], [0.0, 0.0, 0.0], [2.91, 2.94, 0.92]]
20:22:22.814 XYZ [[1.82, 2.05, 1.67], [2.54, 3.34, 1.53], [1.67, 4.17, 1.52], [1.47, 2.19, 0.77], [0.0, 0.0, 0.0], [2.97, 2.92, 0.93]]
20:22:22.897 XYZ [[1.8, 2.13, 1.65], [2.55, 3.4, 1.55], [1.66, 4.22, 1.49], [1.42, 2.26, 0.85], [0.0, 0.0, 0.0], [2.99, 2.89, 0.93]]
20:22:22.981 XYZ [[1.79, 2.18, 1.62], [2.55, 3.44, 1.57], [1.64, 4.26, 1.48], [1.37, 2.31, 0.9], [0.0, 0.0, 0.0], [3.01, 2.88, 0.93]]
20:22:23.064 XYZ [[1.79, 2.2, 1.62], [2.58, 3.47, 1.57], [1.59, 4.32, 1.46], [1.35, 2.34, 0.91], [0.0, 0.0, 0.0], [3.02, 2.85, 0.96]]
20:22:23.148 XYZ [[1.77, 2.24, 1.61], [2.62, 3.51, 1.59], [1.57, 4.38, 1.46], [1.33, 2.38, 0.93], [0.0, 0.0, 0.0], [3.1, 3.59, 1.13]]
20:22:23.231 XYZ [[1.78, 2.26, 1.59], [2.67, 3.55, 1.59], [1.56, 4.42, 1.46], [1.32, 2.44, 0.97], [0.0, 0.0, 0.0], [3.12, 3.7, 1.1]]
20:22:23.314 XYZ [[1.76, 2.28, 1.6], [2.69, 3.58, 1.58], [1.52, 4.46, 1.47], [1.32, 2.46, 0.99], [0.0, 0.0, 0.0], [3.1, 3.77, 1.08]]
20:22:23.398 XYZ [[1.76, 2.31, 1.62], [2.7, 3.63, 1.56], [1.47, 4.5, 1.47], [1.27, 2.49, 1.03], [0.0, 0.0, 0.0], [3.06, 3.82, 1.03]]
20:22:23.481 XYZ [[1.77, 2.35, 1.64], [2.71, 3.63, 1.55], [1.46, 4.5, 1.48], [1.08, 2.64, 1.14], [0.0, 0.0, 0.0], [3.09, 3.89, 1.06]]
20:22:23.565 XYZ [[1.75, 2.38, 1.63], [2.74, 3.63, 1.54], [1.43, 4.49, 1.48], [1.05, 2.68, 1.15], [0.0, 0.0, 0.0], [3.11, 3.93, 1.09]]
20:22:23.649 XYZ [[1.71, 2.41, 1.64], [2.77, 3.66, 1.51], [1.4, 4.51, 1.47], [0.99, 2.75, 1.25], [0.0, 0.0, 0.0], [3.11, 3.97, 1.09]]
20:22:23.732 XYZ [[1.62, 2.45, 1.62], [2.8, 3.66, 1.49], [1.41, 4.51, 1.48], [1.0, 2.81, 1.3], [0.0, 0.0, 0.0], [3.11, 3.98, 1.08]]
20:22:23.816 XYZ [[1.6, 2.46, 1.6], [2.86, 3.65, 1.45], [1.43, 4.5, 1.51], [0.99, 2.85, 1.32], [0.0, 0.0, 0.0], [3.09, 3.99, 1.1]]
20:22:23.899 XYZ [[1.52, 2.5, 1.54], [2.9, 3.63, 1.37], [1.41, 4.5, 1.51], [0.96, 2.94, 1.36], [0.0, 0.0, 0.0], [3.11, 4.01, 1.07]]
20:22:23.983 XYZ [[1.43, 2.56, 1.5], [2.91, 3.63, 1.34], [1.45, 4.46, 1.54], [0.86, 3.04, 1.46], [0.0, 0.0, 0.0], [3.1, 4.03, 1.06]]
20:22:24.067 XYZ [[1.36, 2.6, 1.47], [2.91, 3.63, 1.32], [1.44, 4.42, 1.56], [0.82, 3.07, 1.47], [0.0, 0.0, 0.0], [3.08, 4.04, 1.06]]
20:22:24.150 XYZ [[1.32, 2.62, 1.46], [2.92, 3.63, 1.3], [1.45, 4.37, 1.59], [0.71, 3.15, 1.51], [0.0, 0.0, 0.0], [3.08, 4.01, 1.04]]
20:22:24.233 XYZ [[1.27, 2.66, 1.45], [2.92, 3.62, 1.29], [1.49, 4.35, 1.62], [0.74, 3.2, 1.54], [0.0, 0.0, 0.0], [3.08, 4.03, 1.04]]
20:22:24.317 XYZ [[1.25, 2.66, 1.43], [2.89, 3.62, 1.25], [1.55, 4.33, 1.63], [0.75, 3.2, 1.49], [0.0, 0.0, 0.0], [3.05, 4.06, 1.04]]
20:22:24.400 XYZ [[1.21, 2.68, 1.41], [2.85, 3.63, 1.23], [1.63, 4.32, 1.65], [0.77, 3.2, 1.53], [0.0, 0.0, 0.0], [3.01, 4.08, 1.02]]
20:22:24.484 XYZ [[1.21, 2.7, 1.38], [2.83, 3.64, 1.2], [1.67, 4.31, 1.63], [0.75, 3.24, 1.55], [0.0, 0.0, 0.0], [2.99, 4.11, 1.01]]
20:22:24.567 XYZ [[1.21, 2.71, 1.37], [2.8, 3.64, 1.17], [1.74, 4.3, 1.59], [0.69, 3.25, 1.57], [0.0, 0.0, 0.0], [2.97, 4.13, 1.0]]
20:22:24.651 XYZ [[1.2, 2.74, 1.36], [2.77, 3.64, 1.15], [1.82, 4.31, 1.54], [0.69, 3.25, 1.65], [0.0, 0.0, 0.0], [2.93, 4.13, 1.0]]
20:22:24.734 XYZ [[1.2, 2.78, 1.38], [2.73, 3.64, 1.13], [1.89, 4.34, 1.54], [0.69, 3.24, 1.68], [0.0, 0.0, 0.0], [2.92, 4.14, 0.97]]
20:22:24.818 XYZ [[1.21, 2.8, 1.38], [2.69, 3.65, 1.13], [2.0, 4.38, 1.52], [0.71, 3.24, 1.67], [0.0, 0.0, 0.0], [2.78, 3.99, 0.93]]
20:22:24.902 XYZ [[1.22, 2.86, 1.4], [2.62, 3.64, 1.18], [2.08, 4.44, 1.49], [0.75, 3.25, 1.65], [0.0, 0.0, 0.0], [2.47, 3.74, 0.88]]
20:22:24.986 XYZ [[1.22, 2.95, 1.42], [2.58, 3.61, 1.21], [2.13, 4.47, 1.5], [0.77, 3.29, 1.6], [0.0, 0.0, 0.0], [2.42, 3.67, 0.89]]
20:22:25.069 XYZ [[1.23, 2.99, 1.43], [2.58, 3.6, 1.23], [2.24, 4.5, 1.52], [0.83, 3.33, 1.56], [0.0, 0.0, 0.0], [2.43, 3.53, 0.87]]
20:22:25.152 XYZ [[1.25, 3.07, 1.44], [2.58, 3.57, 1.26], [2.31, 4.52, 1.52], [0.88, 3.39, 1.54], [0.0, 0.0, 0.0], [2.46, 3.46, 0.88]]
20:22:25.236 XYZ [[1.26, 3.15, 1.44], [2.64, 3.52, 1.25], [2.39, 4.52, 1.53], [0.9, 3.47, 1.49], [0.0, 0.0, 0.0], [2.48, 3.4, 0.88]]
20:22:25.319 XYZ [[1.29, 3.22, 1.44], [2.64, 3.49, 1.25], [2.42, 4.52, 1.53], [0.93, 3.51, 1.51], [0.0, 0.0, 0.0], [2.47, 3.36, 0.95]]
20:22:25.403 XYZ [[1.26, 3.28, 1.46], [2.65, 3.44, 1.26], [2.43, 4.5, 1.56], [0.96, 3.54, 1.48], [0.0, 0.0, 0.0], [2.48, 3.3, 0.99]]
20:22:25.486 XYZ [[1.25, 3.35, 1.49], [2.67, 3.4, 1.29], [2.44, 4.5, 1.58], [1.02, 3.56, 1.46], [0.0, 0.0, 0.0], [2.48, 3.23, 1.03]]
20:22:25.570 XYZ [[1.22, 3.4, 1.54], [2.67, 3.37, 1.29], [2.52, 4.48, 1.59], [1.12, 3.63, 1.4], [0.0, 0.0, 0.0], [2.48, 3.21, 1.02]]
20:22:25.653 XYZ [[1.22, 3.43, 1.56], [2.7, 3.33, 1.3], [2.58, 4.48, 1.59], [1.18, 3.66, 1.35], [0.0, 0.0, 0.0], [2.46, 3.15, 1.03]]
20:22:25.737 XYZ [[1.18, 3.46, 1.56], [2.72, 3.3, 1.31], [2.62, 4.48, 1.58], [1.28, 3.73, 1.29], [0.0, 0.0, 0.0], [2.45, 3.08, 1.05]]
20:22:25.820 XYZ [[1.18, 3.49, 1.55], [2.73, 3.27, 1.32], [2.68, 4.5, 1.55], [1.33, 3.77, 1.27], [0.0, 0.0, 0.0], [2.45, 3.06, 1.08]]
