00:29:20.060 XYZ [[2.16, 3.48, 1.78], [2.82, 4.31, 1.73], [1.17, 2.05, 1.88], [2.67, 2.62, 1.67], [0.0, 0.0, 0.0], [3.39, 4.47, 1.77], [1.92, 1.19, 1.57], [2.98, 1.77, 1.63], [3.6, 2.76, 1.55], [1.28, 2.89, 1.9]]
00:29:20.143 XYZ [[2.17, 3.48, 1.77], [2.82, 4.31, 1.72], [1.18, 2.06, 1.9], [2.62, 2.63, 1.65], [0.0, 0.0, 0.0], [3.39, 4.5, 1.77], [1.9, 1.19, 1.56], [2.97, 1.78, 1.62], [3.61, 2.74, 1.59], [1.29, 2.9, 1.91]]
00:29:20.227 XYZ [[2.16, 3.48, 1.77], [2.81, 4.3, 1.69], [1.21, 2.07, 1.9], [2.58, 2.63, 1.65], [0.0, 0.0, 0.0], [3.41, 4.49, 1.8], [1.89, 1.18, 1.55], [2.97, 1.76, 1.63], [3.61, 2.74, 1.59], [1.31, 2.89, 1.9]]
00:29:20.311 XYZ [[2.17, 3.48, 1.76], [2.76, 4.29, 1.64], [1.25, 2.09, 1.95], [2.59, 2.63, 1.6], [0.0, 0.0, 0.0], [3.41, 4.51, 1.78], [1.87, 1.19, 1.56], [2.99, 1.69, 1.69], [3.63, 2.74, 1.61], [1.3, 2.89, 1.91]]
00:29:20.399 XYZ [[2.16, 3.48, 1.76], [2.75, 4.29, 1.62], [1.25, 2.09, 1.98], [2.57, 2.64, 1.59], [0.0, 0.0, 0.0], [3.4, 4.52, 1.77], [1.84, 1.18, 1.58], [2.99, 1.7, 1.68], [3.63, 2.74, 1.62], [1.3, 2.89, 1.88]]
00:29:20.483 XYZ [[2.17, 3.49, 1.78], [2.73, 4.28, 1.54], [1.25, 2.1, 1.98], [2.55, 2.63, 1.57], [0.0, 0.0, 0.0], [3.4, 4.53, 1.76], [1.82, 1.19, 1.56], [2.98, 1.71, 1.69], [3.61, 2.72, 1.61], [1.31, 2.9, 1.87]]
00:29:20.570 XYZ [[2.19, 3.5, 1.78], [2.73, 4.29, 1.49], [1.26, 2.09, 1.99], [2.52, 2.65, 1.59], [0.0, 0.0, 0.0], [3.39, 4.56, 1.74], [1.79, 1.19, 1.57], [2.97, 1.72, 1.71], [3.61, 2.72, 1.61], [1.28, 2.91, 1.83]]
00:29:20.654 XYZ [[2.2, 3.5, 1.8], [2.67, 4.26, 1.44], [1.29, 2.12, 2.0], [2.49, 2.66, 1.57], [0.0, 0.0, 0.0], [3.36, 4.59, 1.7], [1.76, 1.18, 1.57], [2.94, 1.73, 1.73], [3.61, 2.71, 1.63], [1.26, 2.91, 1.83]]
00:29:20.737 XYZ [[2.19, 3.5, 1.79], [2.64, 4.26, 1.39], [1.3, 2.14, 2.01], [2.51, 2.68, 1.52], [0.0, 0.0, 0.0], [3.34, 4.6, 1.66], [1.74, 1.08, 1.54], [2.92, 1.72, 1.75], [3.59, 2.7, 1.61], [1.26, 2.91, 1.81]]
00:29:20.821 XYZ [[2.19, 3.48, 1.8], [2.63, 4.26, 1.35], [1.26, 2.16, 1.99], [2.53, 2.71, 1.45], [0.0, 0.0, 0.0], [3.31, 4.59, 1.65], [1.71, 1.05, 1.52], [2.92, 1.71, 1.76], [3.58, 2.7, 1.61], [1.26, 2.92, 1.79]]
00:29:20.904 XYZ [[2.18, 3.47, 1.81], [2.63, 4.27, 1.33], [1.25, 2.19, 1.98], [2.53, 2.72, 1.43], [0.0, 0.0, 0.0], [3.28, 4.58, 1.63], [1.67, 0.99, 1.57], [2.9, 1.71, 1.76], [3.54, 2.69, 1.6], [1.25, 2.95, 1.78]]
00:29:20.988 XYZ [[2.16, 3.46, 1.82], [2.6, 4.32, 1.35], [1.23, 2.21, 1.96], [2.55, 2.73, 1.39], [0.0, 0.0, 0.0], [3.27, 4.58, 1.63], [1.64, 0.98, 1.58], [2.9, 1.72, 1.75], [3.53, 2.69, 1.6], [1.26, 2.97, 1.75]]
00:29:21.074 XYZ [[2.14, 3.46, 1.81], [2.58, 4.33, 1.34], [1.2, 2.22, 1.95], [2.52, 2.72, 1.4], [0.0, 0.0, 0.0], [3.25, 4.56, 1.62], [1.59, 0.95, 1.61], [2.89, 1.72, 1.76], [3.56, 2.69, 1.64], [1.27, 2.98, 1.73]]
00:29:21.158 XYZ [[2.11, 3.45, 1.81], [2.57, 4.36, 1.36], [1.14, 2.22, 1.95], [2.41, 2.66, 1.43], [0.0, 0.0, 0.0], [3.24, 4.55, 1.62], [1.58, 0.92, 1.63], [2.85, 1.69, 1.74], [3.53, 2.69, 1.66], [1.29, 3.01, 1.69]]
00:29:21.241 XYZ [[2.05, 3.46, 1.81], [2.57, 4.32, 1.38], [1.07, 2.21, 1.95], [2.37, 2.66, 1.43], [0.0, 0.0, 0.0], [3.22, 4.53, 1.58], [1.58, 0.9, 1.63], [2.83, 1.64, 1.75], [3.48, 2.66, 1.72], [1.3, 3.03, 1.67]]
00:29:21.325 XYZ [[2.04, 3.46, 1.83], [2.59, 4.31, 1.38], [1.02, 2.2, 1.95], [2.31, 2.67, 1.44], [0.0, 0.0, 0.0], [3.2, 4.51, 1.56], [1.6, 0.89, 1.6], [2.82, 1.57, 1.71], [3.43, 2.63, 1.74], [1.3, 3.04, 1.63]]
