19:38:22.069 XYZ [[4.12, 0.95, 1.23], [4.25, 4.84, 1.54], [4.0, 6.07, 1.55], [3.51, 3.54, 1.67], [3.86, 2.18, 1.37]]
19:38:22.152 XYZ [[4.12, 0.96, 1.27], [4.23, 4.85, 1.52], [3.97, 6.05, 1.53], [3.55, 3.52, 1.74], [3.92, 2.15, 1.4]]
19:38:22.236 XYZ [[4.15, 0.96, 1.27], [4.23, 4.85, 1.53], [4.03, 6.04, 1.52], [3.56, 3.51, 1.85], [3.88, 2.13, 1.4]]
19:38:22.319 XYZ [[4.15, 0.97, 1.29], [4.23, 4.85, 1.53], [4.03, 6.04, 1.52], [3.58, 3.54, 1.86], [3.92, 2.12, 1.4]]
19:38:22.403 XYZ [[4.19, 0.98, 1.3], [4.23, 4.86, 1.53], [4.08, 6.04, 1.54], [3.55, 3.59, 1.86], [3.95, 2.09, 1.32]]
19:38:22.486 XYZ [[4.19, 0.98, 1.31], [4.22, 4.86, 1.54], [4.1, 6.05, 1.55], [3.56, 3.6, 1.88], [3.95, 2.07, 1.29]]
19:38:22.569 XYZ [[4.2, 0.96, 1.32], [4.24, 4.87, 1.53], [4.13, 6.06, 1.56], [3.65, 3.63, 1.81], [3.98, 2.1, 1.28]]
19:38:22.653 XYZ [[4.19, 0.96, 1.33], [4.23, 4.86, 1.53], [4.16, 6.05, 1.56], [3.66, 3.68, 1.8], [3.99, 2.08, 1.24]]
19:38:22.736 XYZ [[4.2, 0.96, 1.34], [4.24, 4.86, 1.55], [4.18, 6.05, 1.57], [3.66, 3.68, 1.8], [4.03, 2.09, 1.25]]
19:38:22.820 XYZ [[4.17, 0.96, 1.33], [4.26, 4.87, 1.55], [4.2, 6.04, 1.59], [3.66, 3.72, 1.78], [3.97, 2.12, 1.27]]
19:38:22.903 XYZ [[4.19, 0.94, 1.35], [4.25, 4.87, 1.57], [4.19, 6.05, 1.6], [3.71, 3.75, 1.75], [3.98, 2.14, 1.3]]
19:38:22.988 XYZ [[4.19, 0.93, 1.32], [4.25, 4.88, 1.58], [4.2, 6.05, 1.6], [3.7, 3.76, 1.73], [3.93, 2.15, 1.34]]
19:38:23.071 XYZ [[4.19, 0.93, 1.32], [4.24, 4.87, 1.57], [4.21, 6.04, 1.61], [3.74, 3.76, 1.74], [3.91, 2.16, 1.34]]
19:38:23.155 XYZ [[4.17, 0.92, 1.31], [4.23, 4.87, 1.56], [4.22, 6.02, 1.61], [3.77, 3.75, 1.73], [3.9, 2.21, 1.38]]
19:38:23.238 XYZ [[4.15, 0.91, 1.3], [4.22, 4.86, 1.57], [4.24, 6.01, 1.6], [3.78, 3.76, 1.73], [3.87, 2.28, 1.39]]
