19:49:22.534 XYZ [[0.97, 4.22, 1.68], [1.46, 6.15, 1.54], [3.67, 5.15, 1.71], [2.8, 6.53, 1.45]]
19:49:22.618 XYZ [[0.96, 4.3, 1.66], [1.53, 6.23, 1.56], [3.64, 5.07, 1.69], [2.83, 6.5, 1.5]]
19:49:22.701 XYZ [[0.94, 4.34, 1.65], [1.54, 6.25, 1.56], [3.6, 5.02, 1.68], [2.92, 6.47, 1.56]]
19:49:22.785 XYZ [[0.93, 4.43, 1.61], [1.6, 6.25, 1.57], [3.54, 4.91, 1.63], [3.02, 6.47, 1.62]]
19:49:22.868 XYZ [[0.92, 4.51, 1.64], [1.67, 6.27, 1.59], [3.51, 4.86, 1.6], [3.06, 6.5, 1.6]]
19:49:22.952 XYZ [[0.93, 4.53, 1.62], [1.73, 6.27, 1.59], [3.44, 4.78, 1.56], [3.13, 6.48, 1.65]]
19:49:23.036 XYZ [[0.94, 4.62, 1.57], [1.83, 6.29, 1.58], [3.36, 4.7, 1.55], [3.21, 6.4, 1.71]]
19:49:23.119 XYZ [[0.93, 4.69, 1.56], [1.89, 6.31, 1.57], [3.33, 4.66, 1.53], [3.25, 6.37, 1.71]]
19:49:23.203 XYZ [[0.93, 4.72, 1.57], [1.93, 6.32, 1.56], [3.24, 4.6, 1.47], [3.32, 6.28, 1.74]]
19:49:23.286 XYZ [[0.95, 4.75, 1.54], [2.01, 6.32, 1.58], [3.18, 4.53, 1.43], [3.39, 6.16, 1.76]]
19:49:23.369 XYZ [[1.0, 4.77, 1.47], [2.06, 6.3, 1.6], [3.08, 4.49, 1.39], [3.4, 6.1, 1.8]]
19:49:23.453 XYZ [[1.0, 4.8, 1.47], [2.11, 6.3, 1.6], [3.05, 4.47, 1.38], [3.47, 5.99, 1.83]]
19:49:23.539 XYZ [[1.03, 4.84, 1.46], [2.18, 6.28, 1.6], [2.95, 4.45, 1.37], [3.53, 5.89, 1.85]]
19:49:23.622 XYZ [[1.05, 4.91, 1.43], [2.28, 6.26, 1.58], [2.86, 4.43, 1.39], [3.55, 5.83, 1.82]]
19:49:23.708 XYZ [[1.06, 4.95, 1.42], [2.31, 6.26, 1.57], [2.83, 4.43, 1.37], [3.58, 5.72, 1.8]]
19:49:23.791 XYZ [[1.08, 5.04, 1.41], [2.4, 6.23, 1.59], [2.78, 4.38, 1.37], [3.6, 5.6, 1.83]]
19:49:23.875 XYZ [[1.09, 5.11, 1.41], [2.49, 6.17, 1.59], [2.72, 4.34, 1.35], [3.66, 5.55, 1.86]]
19:49:23.958 XYZ [[1.12, 5.18, 1.4], [2.55, 6.16, 1.61], [2.69, 4.33, 1.33], [3.68, 5.53, 1.85]]
19:49:24.041 XYZ [[1.13, 5.22, 1.39], [2.64, 6.13, 1.64], [2.63, 4.3, 1.33], [3.71, 5.45, 1.84]]
19:49:24.125 XYZ [[1.16, 5.27, 1.39], [2.72, 6.1, 1.67], [2.55, 4.26, 1.31], [3.7, 5.36, 1.8]]
19:49:24.208 XYZ [[1.19, 5.33, 1.39], [2.82, 6.08, 1.64], [2.53, 4.24, 1.32], [3.73, 5.32, 1.8]]
19:49:24.292 XYZ [[1.2, 5.36, 1.38], [2.87, 6.06, 1.63], [2.5, 4.21, 1.33], [3.75, 5.23, 1.77]]
19:49:24.375 XYZ [[1.2, 5.4, 1.38], [2.99, 6.02, 1.62], [2.42, 4.14, 1.36], [3.74, 5.16, 1.78]]
19:49:24.459 XYZ [[1.22, 5.43, 1.38], [3.06, 6.0, 1.61], [2.35, 4.09, 1.38], [3.74, 5.11, 1.78]]
19:49:24.542 XYZ [[1.23, 5.44, 1.39], [3.16, 5.97, 1.59], [2.27, 4.06, 1.44], [3.72, 5.03, 1.79]]
19:49:24.626 XYZ [[1.26, 5.49, 1.4], [3.29, 5.91, 1.57], [2.22, 4.0, 1.44], [3.72, 4.99, 1.81]]
19:49:24.709 XYZ [[1.26, 5.58, 1.39], [3.37, 5.87, 1.57], [2.18, 4.0, 1.43], [3.67, 4.94, 1.82]]
19:49:24.792 XYZ [[1.25, 5.64, 1.37], [3.46, 5.8, 1.57], [2.13, 4.0, 1.38], [3.6, 4.85, 1.79]]
19:49:24.876 XYZ [[1.3, 5.75, 1.35], [3.52, 5.74, 1.56], [2.05, 3.98, 1.4], [3.58, 4.77, 1.78]]
19:49:24.959 XYZ [[1.33, 5.83, 1.38], [3.58, 5.65, 1.57], [1.97, 3.98, 1.41], [3.52, 4.74, 1.78]]
19:49:25.043 XYZ [[1.35, 5.87, 1.36], [3.58, 5.62, 1.55], [1.9, 3.98, 1.39], [3.41, 4.69, 1.75]]
19:49:25.126 XYZ [[1.35, 5.93, 1.4], [3.64, 5.55, 1.52], [1.82, 3.99, 1.33], [3.36, 4.63, 1.76]]
