20:31:21.897 XYZ [[3.73, 5.82, 1.57], [0.98, 5.74, 1.49], [1.49, 2.93, 1.26], [3.02, 6.71, 0.76], [0.81, 6.25, 0.92], [0.0, 0.0, 0.0]]
20:31:21.981 XYZ [[3.64, 5.78, 1.52], [1.07, 5.69, 1.52], [1.46, 2.94, 1.28], [3.02, 6.58, 0.86], [0.79, 6.26, 0.91], [0.0, 0.0, 0.0]]
20:31:22.064 XYZ [[3.64, 5.75, 1.55], [1.14, 5.68, 1.52], [1.51, 2.94, 1.33], [2.97, 6.52, 0.91], [0.78, 6.22, 0.88], [0.0, 0.0, 0.0]]
20:31:22.148 XYZ [[3.67, 5.77, 1.54], [1.24, 5.64, 1.52], [1.62, 2.92, 1.36], [2.97, 6.45, 0.94], [0.8, 6.15, 0.87], [0.0, 0.0, 0.0]]
20:31:22.231 XYZ [[3.65, 5.75, 1.5], [1.31, 5.59, 1.51], [1.66, 2.91, 1.38], [2.91, 6.38, 0.92], [0.8, 6.13, 0.87], [0.0, 0.0, 0.0]]
20:31:22.316 XYZ [[3.59, 5.72, 1.48], [1.36, 5.58, 1.51], [1.69, 2.89, 1.42], [2.91, 6.24, 0.94], [0.83, 6.11, 0.87], [0.0, 0.0, 0.0]]
20:31:22.399 XYZ [[3.55, 5.7, 1.5], [1.46, 5.55, 1.5], [1.74, 2.8, 1.43], [2.91, 6.21, 0.95], [0.83, 6.11, 0.85], [0.0, 0.0, 0.0]]
20:31:22.483 XYZ [[3.55, 5.66, 1.5], [1.54, 5.52, 1.52], [1.75, 2.77, 1.42], [2.91, 6.11, 0.92], [0.84, 6.13, 0.84], [0.0, 0.0, 0.0]]
20:31:22.566 XYZ [[3.55, 5.56, 1.47], [1.52, 5.51, 1.48], [1.78, 2.75, 1.38], [2.93, 5.99, 0.94], [0.84, 6.13, 0.87], [0.0, 0.0, 0.0]]
20:31:22.650 XYZ [[3.55, 5.45, 1.49], [1.5, 5.43, 1.47], [1.83, 2.74, 1.39], [2.95, 5.94, 0.95], [0.83, 6.13, 0.86], [0.0, 0.0, 0.0]]
20:31:22.733 XYZ [[3.55, 5.4, 1.48], [1.5, 5.41, 1.49], [1.87, 2.74, 1.4], [2.99, 5.88, 0.96], [0.82, 6.15, 0.86], [0.0, 0.0, 0.0]]
20:31:22.817 XYZ [[3.55, 5.34, 1.45], [1.49, 5.39, 1.5], [1.95, 2.74, 1.41], [3.0, 5.85, 0.95], [1.52, 5.48, 0.82], [0.0, 0.0, 0.0]]
20:31:22.900 XYZ [[3.54, 5.3, 1.43], [1.48, 5.34, 1.5], [1.98, 2.74, 1.42], [3.01, 5.83, 0.93], [1.73, 5.28, 0.77], [0.0, 0.0, 0.0]]
20:31:22.984 XYZ [[3.53, 5.23, 1.4], [1.47, 5.29, 1.49], [2.08, 2.76, 1.45], [3.0, 5.81, 0.9], [1.76, 5.22, 0.77], [0.0, 0.0, 0.0]]
20:31:23.067 XYZ [[3.54, 5.16, 1.37], [1.47, 5.26, 1.5], [2.2, 2.77, 1.47], [3.0, 5.79, 0.93], [1.78, 5.14, 0.75], [0.0, 0.0, 0.0]]
20:31:23.150 XYZ [[3.55, 5.11, 1.34], [1.47, 5.24, 1.52], [2.29, 2.81, 1.46], [2.98, 5.79, 0.92], [1.85, 5.08, 0.75], [0.0, 0.0, 0.0]]
20:31:23.234 XYZ [[3.53, 5.08, 1.3], [1.5, 5.2, 1.52], [2.32, 2.82, 1.47], [2.98, 5.76, 0.93], [1.88, 5.05, 0.76], [0.0, 0.0, 0.0]]
20:31:23.317 XYZ [[3.55, 5.04, 1.29], [1.51, 5.18, 1.51], [2.4, 2.83, 1.45], [3.0, 5.75, 0.92], [1.94, 4.99, 0.73], [0.0, 0.0, 0.0]]
20:31:23.401 XYZ [[3.54, 5.02, 1.27], [1.53, 5.14, 1.49], [2.51, 2.86, 1.45], [3.01, 5.74, 0.92], [1.98, 4.94, 0.7], [0.0, 0.0, 0.0]]
20:31:23.485 XYZ [[3.52, 4.99, 1.27], [1.58, 5.1, 1.48], [2.55, 2.85, 1.44], [3.02, 5.73, 0.94], [2.01, 4.91, 0.66], [0.0, 0.0, 0.0]]
20:31:23.568 XYZ [[3.48, 4.95, 1.24], [1.63, 5.05, 1.45], [2.65, 2.85, 1.43], [3.02, 5.72, 0.95], [2.06, 4.8, 0.6], [0.0, 0.0, 0.0]]
20:31:23.652 XYZ [[3.48, 4.95, 1.23], [1.64, 5.01, 1.46], [2.7, 2.84, 1.44], [3.03, 5.71, 0.96], [2.13, 4.69, 0.56], [0.0, 0.0, 0.0]]
20:31:23.735 XYZ [[3.47, 4.94, 1.25], [1.71, 4.97, 1.46], [2.82, 2.81, 1.42], [3.01, 5.74, 0.97], [2.16, 4.64, 0.56], [0.0, 0.0, 0.0]]
20:31:23.819 XYZ [[3.47, 4.99, 1.28], [1.72, 4.93, 1.44], [2.92, 2.81, 1.42], [3.0, 5.76, 0.96], [2.23, 4.54, 0.53], [0.0, 0.0, 0.0]]
20:31:23.902 XYZ [[3.43, 5.02, 1.28], [1.69, 4.89, 1.43], [2.96, 2.79, 1.42], [2.94, 5.78, 0.94], [2.32, 4.48, 0.5], [0.0, 0.0, 0.0]]
20:31:23.986 XYZ [[3.41, 5.01, 1.33], [1.71, 4.83, 1.41], [3.0, 2.79, 1.41], [2.91, 5.77, 0.94], [2.34, 4.46, 0.49], [0.0, 0.0, 0.0]]
20:31:24.069 XYZ [[3.36, 5.01, 1.36], [1.74, 4.79, 1.43], [3.06, 2.78, 1.4], [2.91, 5.75, 0.95], [2.37, 4.39, 0.5], [0.0, 0.0, 0.0]]
20:31:24.152 XYZ [[3.32, 5.0, 1.4], [1.75, 4.74, 1.44], [3.09, 2.8, 1.46], [2.85, 5.72, 0.98], [2.42, 4.33, 0.52], [0.0, 0.0, 0.0]]
20:31:24.236 XYZ [[3.32, 4.98, 1.42], [1.73, 4.7, 1.45], [3.11, 2.81, 1.47], [2.81, 5.68, 1.0], [2.46, 4.29, 0.52], [0.0, 0.0, 0.0]]
20:31:24.319 XYZ [[3.33, 4.94, 1.45], [1.7, 4.64, 1.46], [3.12, 2.81, 1.53], [2.77, 5.63, 1.02], [2.47, 4.25, 0.5], [0.0, 0.0, 0.0]]
20:31:24.403 XYZ [[3.34, 4.91, 1.44], [1.69, 4.61, 1.46], [3.2, 2.81, 1.55], [2.75, 5.61, 1.03], [2.45, 4.21, 0.51], [0.0, 0.0, 0.0]]
20:31:24.486 XYZ [[3.34, 4.91, 1.44], [1.66, 4.56, 1.46], [3.24, 2.8, 1.56], [2.75, 5.6, 1.03], [2.26, 4.27, 0.57], [0.0, 0.0, 0.0]]
20:31:24.570 XYZ [[3.33, 4.89, 1.47], [1.65, 4.52, 1.47], [3.27, 2.81, 1.56], [2.73, 5.57, 1.03], [2.03, 4.28, 0.72], [0.0, 0.0, 0.0]]
20:31:24.653 XYZ [[3.3, 4.89, 1.48], [1.62, 4.47, 1.48], [3.38, 2.84, 1.53], [2.72, 5.57, 1.02], [1.99, 4.25, 0.8], [0.0, 0.0, 0.0]]
20:31:24.737 XYZ [[3.29, 4.89, 1.5], [1.61, 4.41, 1.51], [3.41, 2.86, 1.54], [2.69, 5.56, 1.02], [1.96, 4.23, 0.82], [0.0, 0.0, 0.0]]
20:31:24.820 XYZ [[3.23, 4.93, 1.51], [1.59, 4.34, 1.52], [3.47, 2.89, 1.57], [2.64, 5.52, 1.03], [1.9, 4.21, 0.86], [0.0, 0.0, 0.0]]
20:31:24.904 XYZ [[3.14, 5.0, 1.53], [1.59, 4.31, 1.51], [3.52, 2.91, 1.61], [2.55, 5.5, 1.04], [1.81, 4.16, 0.86], [0.0, 0.0, 0.0]]
20:31:24.987 XYZ [[3.13, 5.01, 1.55], [1.59, 4.22, 1.52], [3.56, 2.92, 1.65], [2.48, 5.49, 1.03], [1.77, 4.12, 0.85], [0.0, 0.0, 0.0]]
20:31:25.071 XYZ [[3.01, 5.05, 1.58], [1.6, 4.13, 1.53], [3.63, 2.94, 1.65], [2.37, 5.42, 1.02], [1.73, 4.04, 0.87], [0.0, 0.0, 0.0]]
20:31:25.154 XYZ [[2.91, 5.09, 1.58], [1.59, 4.07, 1.54], [3.68, 2.92, 1.65], [2.28, 5.34, 1.01], [1.69, 3.97, 0.87], [0.0, 0.0, 0.0]]
20:31:25.238 XYZ [[2.87, 5.12, 1.57], [1.57, 3.98, 1.54], [3.7, 2.94, 1.67], [2.23, 5.31, 1.01], [1.68, 3.92, 0.86], [0.0, 0.0, 0.0]]
