18:05:20.160 XYZ [[5.27, 5.3, 1.77], [2.32, 3.14, 1.67], [3.64, 6.29, 2.11], [1.4, 4.37, 2.48], [4.11, 3.04, -2.29], [3.26, 2.52, 1.91], [5.64, 4.21, 1.51], [5.76, 3.32, 1.63], [1.75, 3.6, 1.77], [1.35, 5.39, 1.6]]
18:05:20.243 XYZ [[5.29, 5.29, 1.74], [2.36, 3.13, 1.67], [3.65, 6.29, 2.09], [1.4, 4.37, 2.48], [4.1, 3.02, -2.53], [3.26, 2.52, 1.91], [5.62, 4.21, 1.5], [5.72, 3.33, 1.62], [1.75, 3.59, 1.78], [1.37, 5.38, 1.57]]
18:05:20.327 XYZ [[5.28, 5.3, 1.78], [2.34, 3.12, 1.61], [3.66, 6.28, 2.07], [1.4, 4.37, 2.48], [4.06, 3.06, -2.48], [3.26, 2.52, 1.91], [5.63, 4.21, 1.49], [5.72, 3.33, 1.62], [1.76, 3.59, 1.78], [1.33, 5.38, 1.56]]
18:05:20.410 XYZ [[5.27, 5.3, 1.77], [2.34, 3.12, 1.61], [3.65, 6.26, 2.06], [1.45, 4.32, 2.21], [4.43, 3.18, -2.51], [3.26, 2.52, 1.91], [5.64, 4.21, 1.5], [5.79, 3.32, 1.57], [1.74, 3.59, 1.76], [1.3, 5.38, 1.55]]
18:05:20.494 XYZ [[5.28, 5.31, 1.75], [2.35, 3.08, 1.6], [3.61, 6.31, 1.99], [1.54, 4.33, 2.15], [4.3, 3.3, -2.36], [3.41, 2.49, 1.91], [5.67, 4.2, 1.54], [5.85, 3.32, 1.58], [1.74, 3.58, 1.74], [1.26, 5.35, 1.57]]
18:05:20.577 XYZ [[5.37, 5.27, 1.78], [2.34, 3.07, 1.57], [3.54, 6.32, 2.0], [1.55, 4.32, 2.14], [4.44, 3.18, -2.23], [3.41, 2.5, 1.91], [5.68, 4.22, 1.51], [5.88, 3.34, 1.59], [1.76, 3.58, 1.73], [1.25, 5.34, 1.58]]
18:05:20.661 XYZ [[5.37, 5.26, 1.77], [2.35, 3.06, 1.56], [3.51, 6.3, 1.97], [1.59, 4.32, 2.13], [4.53, 3.21, -2.48], [3.43, 2.48, 1.94], [5.69, 4.23, 1.51], [5.94, 3.35, 1.59], [1.77, 3.58, 1.74], [1.24, 5.34, 1.61]]
18:05:20.744 XYZ [[5.36, 5.26, 1.78], [2.35, 3.06, 1.56], [3.49, 6.29, 1.96], [1.62, 4.35, 2.14], [4.68, 3.03, -2.62], [3.42, 2.49, 1.94], [5.71, 4.26, 1.49], [5.96, 3.36, 1.6], [1.77, 3.57, 1.74], [1.21, 5.34, 1.62]]
18:05:20.828 XYZ [[5.34, 5.28, 1.8], [2.37, 3.09, 1.58], [3.56, 6.28, 1.95], [1.64, 4.36, 2.16], [4.54, 2.99, -2.53], [3.39, 2.52, 1.93], [5.72, 4.25, 1.48], [5.92, 3.31, 1.57], [1.81, 3.56, 1.73], [1.04, 5.33, 1.62]]
18:05:20.911 XYZ [[5.34, 5.28, 1.79], [2.37, 3.07, 1.58], [3.54, 6.26, 1.93], [1.68, 4.34, 2.15], [4.51, 2.83, -1.78], [3.39, 2.53, 1.94], [5.71, 4.25, 1.46], [5.97, 3.28, 1.56], [1.83, 3.56, 1.74], [0.91, 5.31, 1.62]]
18:05:20.995 XYZ [[5.33, 5.27, 1.81], [2.37, 3.07, 1.58], [3.53, 6.25, 1.92], [1.66, 4.35, 2.08], [4.67, 2.81, -1.88], [3.39, 2.52, 1.93], [5.71, 4.24, 1.44], [5.98, 3.27, 1.58], [1.81, 3.56, 1.74], [0.87, 5.31, 1.61]]
18:05:21.078 XYZ [[5.35, 5.28, 1.83], [2.35, 3.07, 1.58], [3.57, 6.3, 1.97], [1.68, 4.36, 2.05], [4.54, 2.77, -2.0], [3.37, 2.56, 1.93], [5.72, 4.24, 1.46], [6.04, 3.21, 1.67], [1.82, 3.55, 1.73], [0.78, 5.31, 1.6]]
18:05:21.162 XYZ [[5.36, 5.31, 1.88], [2.34, 3.08, 1.56], [3.58, 6.3, 1.94], [1.7, 4.38, 2.01], [4.51, 2.88, -2.04], [3.35, 2.59, 1.94], [5.71, 4.25, 1.47], [6.06, 3.22, 1.71], [1.83, 3.55, 1.7], [0.69, 5.31, 1.6]]
