19:17:18.211 XYZ [[2.3, 4.96, 1.5], [2.41, 2.77, 1.36]]
19:17:21.382 XYZ [[0.0, 0.0, 0.0], [2.28, 6.18, 1.63], [2.3, 4.94, 1.42], [2.32, 2.82, 1.43], [2.26, 3.94, 1.69]]
19:17:21.465 XYZ [[0.0, 0.0, 0.0], [2.28, 6.18, 1.63], [2.29, 4.94, 1.44], [2.33, 2.77, 1.37], [2.26, 3.93, 1.71]]
19:17:21.549 XYZ [[0.0, 0.0, 0.0], [2.27, 6.2, 1.63], [2.28, 4.93, 1.45], [2.34, 2.77, 1.36], [2.28, 3.94, 1.74]]
19:17:21.634 XYZ [[0.0, 0.0, 0.0], [2.28, 6.2, 1.63], [2.28, 4.92, 1.46], [2.33, 2.74, 1.31], [2.28, 3.94, 1.76]]
19:17:21.718 XYZ [[0.0, 0.0, 0.0], [2.29, 6.16, 1.61], [2.28, 4.92, 1.45], [2.34, 2.73, 1.3], [2.3, 3.94, 1.75]]
19:17:21.801 XYZ [[0.0, 0.0, 0.0], [2.29, 6.17, 1.63], [2.28, 4.92, 1.45], [2.35, 2.72, 1.3], [2.3, 3.95, 1.74]]
19:17:21.885 XYZ [[0.0, 0.0, 0.0], [2.32, 6.15, 1.61], [2.29, 4.93, 1.45], [2.36, 2.69, 1.29], [2.31, 3.94, 1.75]]
19:17:21.968 XYZ [[0.0, 0.0, 0.0], [2.32, 6.15, 1.6], [2.29, 4.94, 1.46], [2.36, 2.7, 1.29], [2.31, 3.94, 1.74]]
19:17:22.051 XYZ [[0.0, 0.0, 0.0], [2.32, 6.16, 1.6], [2.28, 4.94, 1.47], [2.36, 2.71, 1.29], [2.32, 3.93, 1.75]]
19:17:22.137 XYZ [[0.0, 0.0, 0.0], [2.33, 6.16, 1.63], [2.28, 4.94, 1.48], [2.37, 2.72, 1.27], [2.33, 3.92, 1.74]]
19:17:22.221 XYZ [[0.0, 0.0, 0.0], [2.32, 6.18, 1.66], [2.29, 4.95, 1.49], [2.39, 2.74, 1.29], [2.34, 3.9, 1.73]]
19:17:22.304 XYZ [[0.0, 0.0, 0.0], [2.31, 6.18, 1.66], [2.3, 4.95, 1.5], [2.4, 2.75, 1.29], [2.35, 3.9, 1.73]]
19:17:22.388 XYZ [[0.0, 0.0, 0.0], [2.33, 6.17, 1.67], [2.3, 4.94, 1.5], [2.39, 2.77, 1.29], [2.35, 3.89, 1.73]]
19:17:22.471 XYZ [[0.0, 0.0, 0.0], [2.34, 6.18, 1.64], [2.32, 4.95, 1.52], [2.4, 2.78, 1.29], [2.35, 3.89, 1.73]]
19:17:22.555 XYZ [[0.0, 0.0, 0.0], [2.32, 6.17, 1.64], [2.31, 4.95, 1.52], [2.4, 2.79, 1.28], [2.35, 3.89, 1.71]]
19:17:22.638 XYZ [[0.0, 0.0, 0.0], [2.33, 6.16, 1.63], [2.3, 4.95, 1.52], [2.4, 2.79, 1.27], [2.37, 3.89, 1.71]]
19:17:22.722 XYZ [[0.0, 0.0, 0.0], [2.32, 6.17, 1.63], [2.3, 4.94, 1.51], [2.4, 2.81, 1.28], [2.37, 3.89, 1.71]]
19:17:22.805 XYZ [[0.0, 0.0, 0.0], [2.32, 6.17, 1.64], [2.3, 4.94, 1.5], [2.4, 2.8, 1.28], [2.37, 3.88, 1.71]]
19:17:22.889 XYZ [[0.0, 0.0, 0.0], [2.32, 6.16, 1.65], [2.3, 4.95, 1.5], [2.38, 2.8, 1.27], [2.36, 3.88, 1.71]]
19:17:22.972 XYZ [[0.0, 0.0, 0.0], [2.32, 6.19, 1.64], [2.3, 4.95, 1.49], [2.37, 2.81, 1.27], [2.36, 3.88, 1.71]]
19:17:23.056 XYZ [[0.0, 0.0, 0.0], [2.32, 6.2, 1.64], [2.3, 4.94, 1.48], [2.37, 2.81, 1.28], [2.37, 3.89, 1.7]]
19:17:23.139 XYZ [[0.0, 0.0, 0.0], [2.32, 6.18, 1.62], [2.3, 4.94, 1.48], [2.37, 2.81, 1.28], [2.34, 3.89, 1.7]]
19:17:23.223 XYZ [[0.0, 0.0, 0.0], [2.31, 6.18, 1.61], [2.3, 4.95, 1.47], [2.36, 2.79, 1.28], [2.33, 3.9, 1.72]]
19:17:23.306 XYZ [[0.0, 0.0, 0.0], [2.3, 6.18, 1.6], [2.3, 4.95, 1.48], [2.37, 2.77, 1.26], [2.33, 3.89, 1.71]]
19:17:23.389 XYZ [[0.0, 0.0, 0.0], [2.32, 6.2, 1.58], [2.31, 4.95, 1.47], [2.36, 2.76, 1.26], [2.32, 3.89, 1.7]]
19:17:23.473 XYZ [[0.0, 0.0, 0.0], [2.32, 6.21, 1.58], [2.3, 4.95, 1.47], [2.32, 2.74, 1.26], [2.32, 3.89, 1.7]]
19:17:23.556 XYZ [[0.0, 0.0, 0.0], [2.32, 6.21, 1.56], [2.3, 4.94, 1.48], [2.32, 2.73, 1.24], [2.32, 3.89, 1.7]]
19:17:23.640 XYZ [[0.0, 0.0, 0.0], [2.32, 6.21, 1.57], [2.3, 4.94, 1.48], [2.29, 2.72, 1.22], [2.3, 3.9, 1.69]]
19:17:23.723 XYZ [[0.0, 0.0, 0.0], [2.32, 6.19, 1.58], [2.29, 4.95, 1.47], [2.28, 2.75, 1.24], [2.29, 3.89, 1.7]]
19:17:23.807 XYZ [[0.0, 0.0, 0.0], [2.33, 6.17, 1.57], [2.3, 4.94, 1.48], [2.29, 2.76, 1.23], [2.3, 3.89, 1.69]]
19:17:23.891 XYZ [[0.0, 0.0, 0.0], [2.31, 6.18, 1.56], [2.3, 4.94, 1.48], [2.29, 2.79, 1.23], [2.29, 3.89, 1.68]]
19:17:23.974 XYZ [[0.0, 0.0, 0.0], [2.31, 6.19, 1.58], [2.3, 4.94, 1.47], [2.26, 2.84, 1.26], [2.29, 3.89, 1.67]]
19:17:24.058 XYZ [[0.0, 0.0, 0.0], [2.3, 6.18, 1.58], [2.32, 4.94, 1.46], [2.27, 2.84, 1.25], [2.29, 3.89, 1.68]]
19:17:24.142 XYZ [[0.0, 0.0, 0.0], [2.3, 6.18, 1.58], [2.32, 4.94, 1.47], [2.27, 2.85, 1.25], [2.29, 3.89, 1.68]]
19:17:24.225 XYZ [[0.0, 0.0, 0.0], [2.29, 6.17, 1.57], [2.32, 4.94, 1.47], [2.31, 2.86, 1.24], [2.28, 3.89, 1.69]]
19:17:24.308 XYZ [[0.0, 0.0, 0.0], [2.29, 6.17, 1.59], [2.32, 4.95, 1.46], [2.25, 2.88, 1.18], [2.27, 3.9, 1.69]]
19:17:24.392 XYZ [[0.0, 0.0, 0.0], [2.3, 6.2, 1.6], [2.31, 4.94, 1.46], [2.24, 2.9, 1.15], [2.28, 3.9, 1.68]]
19:17:24.475 XYZ [[0.0, 0.0, 0.0], [2.3, 6.2, 1.62], [2.31, 4.94, 1.46], [2.24, 2.9, 1.15], [2.28, 3.9, 1.67]]
19:17:24.559 XYZ [[0.0, 0.0, 0.0], [2.3, 6.2, 1.61], [2.31, 4.94, 1.44], [2.23, 2.88, 1.19], [2.28, 3.9, 1.67]]
19:17:24.642 XYZ [[0.0, 0.0, 0.0], [2.3, 6.21, 1.6], [2.32, 4.94, 1.44], [2.21, 2.86, 1.18], [2.29, 3.89, 1.7]]
19:17:24.726 XYZ [[0.0, 0.0, 0.0], [2.29, 6.19, 1.61], [2.31, 4.95, 1.45], [2.19, 2.82, 1.17], [2.28, 3.89, 1.68]]
19:17:24.809 XYZ [[0.0, 0.0, 0.0], [2.29, 6.2, 1.6], [2.31, 4.94, 1.43], [2.19, 2.78, 1.14], [2.29, 3.9, 1.69]]
19:17:24.893 XYZ [[0.0, 0.0, 0.0], [2.29, 6.19, 1.59], [2.31, 4.94, 1.43], [2.2, 2.77, 1.11], [2.28, 3.9, 1.67]]
19:17:24.976 XYZ [[0.0, 0.0, 0.0], [2.27, 6.19, 1.64], [2.3, 4.93, 1.43], [2.2, 2.77, 1.14], [2.28, 3.9, 1.66]]
19:17:25.060 XYZ [[0.0, 0.0, 0.0], [2.28, 6.18, 1.65], [2.31, 4.91, 1.42], [2.21, 2.77, 1.15], [2.27, 3.91, 1.66]]
19:17:25.143 XYZ [[0.0, 0.0, 0.0], [2.29, 6.17, 1.63], [2.3, 4.92, 1.43], [2.24, 2.77, 1.17], [2.27, 3.91, 1.64]]
19:17:25.227 XYZ [[0.0, 0.0, 0.0], [2.3, 6.17, 1.64], [2.29, 4.92, 1.44], [2.25, 2.77, 1.17], [2.27, 3.91, 1.65]]
19:17:25.310 XYZ [[0.0, 0.0, 0.0], [2.31, 6.17, 1.64], [2.29, 4.92, 1.44], [2.25, 2.78, 1.18], [2.28, 3.9, 1.65]]
19:17:25.394 XYZ [[0.0, 0.0, 0.0], [2.31, 6.19, 1.64], [2.3, 4.92, 1.44], [2.24, 2.77, 1.2], [2.28, 3.91, 1.65]]
19:17:25.477 XYZ [[0.0, 0.0, 0.0], [2.32, 6.2, 1.63], [2.31, 4.94, 1.44], [2.25, 2.77, 1.23], [2.28, 3.91, 1.66]]
