19:25:21.288 XYZ [[0.0, 0.0, 0.0], [2.28, 6.01, 1.43], [2.25, 4.92, 1.47], [2.22, 2.85, 1.2], [2.19, 3.94, 1.27]]
19:25:21.371 XYZ [[0.0, 0.0, 0.0], [2.28, 6.02, 1.43], [2.26, 4.92, 1.48], [2.23, 2.85, 1.18], [2.15, 3.96, 1.29]]
19:25:21.455 XYZ [[0.0, 0.0, 0.0], [2.28, 6.01, 1.4], [2.26, 4.92, 1.49], [2.23, 2.84, 1.17], [2.14, 3.96, 1.27]]
19:25:21.538 XYZ [[0.0, 0.0, 0.0], [2.29, 6.02, 1.37], [2.26, 4.92, 1.49], [2.23, 2.83, 1.18], [2.16, 3.94, 1.24]]
19:25:21.622 XYZ [[0.0, 0.0, 0.0], [2.29, 6.02, 1.37], [2.27, 4.92, 1.49], [2.23, 2.83, 1.18], [2.16, 3.92, 1.21]]
19:25:21.705 XYZ [[0.0, 0.0, 0.0], [2.28, 6.03, 1.37], [2.26, 4.92, 1.48], [2.23, 2.83, 1.18], [2.18, 3.9, 1.22]]
19:25:21.789 XYZ [[0.0, 0.0, 0.0], [2.3, 6.03, 1.35], [2.26, 4.92, 1.48], [2.24, 2.82, 1.17], [2.18, 3.87, 1.23]]
19:25:21.872 XYZ [[0.0, 0.0, 0.0], [2.3, 6.03, 1.35], [2.26, 4.91, 1.47], [2.23, 2.83, 1.17], [2.17, 3.86, 1.25]]
19:25:21.956 XYZ [[0.0, 0.0, 0.0], [2.33, 6.03, 1.37], [2.27, 4.9, 1.48], [2.24, 2.83, 1.15], [2.18, 3.84, 1.23]]
19:25:22.039 XYZ [[0.0, 0.0, 0.0], [2.34, 6.01, 1.4], [2.26, 4.9, 1.49], [2.23, 2.84, 1.15], [2.17, 3.83, 1.21]]
19:25:22.123 XYZ [[0.0, 0.0, 0.0], [2.34, 6.02, 1.42], [2.27, 4.89, 1.47], [2.24, 2.84, 1.15], [2.18, 3.81, 1.23]]
19:25:22.206 XYZ [[0.0, 0.0, 0.0], [2.34, 6.01, 1.42], [2.28, 4.9, 1.47], [2.23, 2.84, 1.15], [2.18, 3.81, 1.23]]
19:25:22.290 XYZ [[0.0, 0.0, 0.0], [2.3, 6.03, 1.36], [2.28, 4.89, 1.47], [2.24, 2.84, 1.14], [2.17, 3.8, 1.23]]
19:25:22.373 XYZ [[0.0, 0.0, 0.0], [2.31, 6.03, 1.36], [2.3, 4.89, 1.44], [2.26, 2.83, 1.12], [2.19, 3.81, 1.24]]
19:25:22.457 XYZ [[0.0, 0.0, 0.0], [2.29, 6.03, 1.36], [2.31, 4.9, 1.44], [2.27, 2.83, 1.12], [2.19, 3.81, 1.24]]
19:25:22.540 XYZ [[0.0, 0.0, 0.0], [2.29, 6.04, 1.36], [2.3, 4.91, 1.44], [2.24, 2.85, 1.13], [2.22, 3.79, 1.25]]
19:25:22.623 XYZ [[0.0, 0.0, 0.0], [2.29, 6.04, 1.39], [2.29, 4.9, 1.43], [2.26, 2.85, 1.13], [2.22, 3.79, 1.24]]
19:25:22.707 XYZ [[0.0, 0.0, 0.0], [2.29, 6.04, 1.4], [2.29, 4.91, 1.41], [2.25, 2.84, 1.13], [2.22, 3.79, 1.24]]
19:25:22.790 XYZ [[0.0, 0.0, 0.0], [2.31, 6.03, 1.43], [2.29, 4.92, 1.42], [2.25, 2.84, 1.13], [2.26, 3.81, 1.25]]
19:25:22.874 XYZ [[0.0, 0.0, 0.0], [2.31, 6.04, 1.43], [2.27, 4.93, 1.42], [2.24, 2.84, 1.14], [2.26, 3.82, 1.25]]
19:25:22.957 XYZ [[0.0, 0.0, 0.0], [2.29, 6.05, 1.42], [2.27, 4.92, 1.42], [2.24, 2.85, 1.14], [2.26, 3.83, 1.26]]
19:25:23.041 XYZ [[0.0, 0.0, 0.0], [2.3, 6.07, 1.41], [2.27, 4.92, 1.43], [2.24, 2.86, 1.14], [2.26, 3.82, 1.26]]
19:25:23.124 XYZ [[0.0, 0.0, 0.0], [2.31, 6.06, 1.45], [2.27, 4.92, 1.43], [2.25, 2.87, 1.14], [2.27, 3.82, 1.27]]
19:25:23.208 XYZ [[0.0, 0.0, 0.0], [2.3, 6.06, 1.42], [2.27, 4.92, 1.43], [2.25, 2.87, 1.15], [2.27, 3.82, 1.28]]
19:25:23.291 XYZ [[0.0, 0.0, 0.0], [2.31, 6.08, 1.42], [2.28, 4.92, 1.43], [2.25, 2.87, 1.15], [2.26, 3.83, 1.29]]
19:25:23.375 XYZ [[0.0, 0.0, 0.0], [2.32, 6.07, 1.44], [2.28, 4.92, 1.44], [2.26, 2.87, 1.15], [2.27, 3.84, 1.29]]
19:25:23.458 XYZ [[0.0, 0.0, 0.0], [2.32, 6.08, 1.44], [2.28, 4.92, 1.44], [2.25, 2.87, 1.14], [2.25, 3.84, 1.29]]
19:25:23.542 XYZ [[0.0, 0.0, 0.0], [2.3, 6.1, 1.41], [2.28, 4.92, 1.44], [2.27, 2.88, 1.13], [2.26, 3.85, 1.31]]
19:25:23.625 XYZ [[0.0, 0.0, 0.0], [2.31, 6.11, 1.38], [2.29, 4.93, 1.45], [2.29, 2.88, 1.14], [2.28, 3.85, 1.31]]
19:25:23.709 XYZ [[0.0, 0.0, 0.0], [2.31, 6.12, 1.38], [2.28, 4.93, 1.44], [2.3, 2.88, 1.13], [2.28, 3.85, 1.32]]
19:25:23.792 XYZ [[0.0, 0.0, 0.0], [2.32, 6.12, 1.38], [2.3, 4.92, 1.44], [2.32, 2.86, 1.13], [2.27, 3.85, 1.32]]
19:25:23.875 XYZ [[0.0, 0.0, 0.0], [2.33, 6.11, 1.39], [2.28, 4.92, 1.45], [2.34, 2.86, 1.12], [2.27, 3.86, 1.29]]
19:25:23.959 XYZ [[0.0, 0.0, 0.0], [2.32, 6.12, 1.36], [2.28, 4.92, 1.45], [2.36, 2.86, 1.1], [2.27, 3.87, 1.3]]
