20:03:21.433 XYZ [[2.97, -1.4, 1.39], [2.37, 4.93, 1.49], [0.42, 3.25, 1.45], [2.51, 2.64, 1.71], [0.0, 0.0, 0.0], [2.54, -0.16, 1.07], [0.0, 0.0, 0.0], [2.59, 4.46, 0.81], [0.17, 2.97, 1.25], [2.48, 3.07, 1.04]]
20:03:21.517 XYZ [[2.96, -1.47, 1.39], [2.36, 4.88, 1.49], [0.31, 3.19, 1.46], [2.5, 2.74, 1.67], [0.0, 0.0, 0.0], [2.57, -0.14, 1.07], [0.0, 0.0, 0.0], [2.59, 4.44, 0.81], [0.2, 2.87, 1.28], [2.5, 3.06, 1.05]]
20:03:21.600 XYZ [[2.95, -1.58, 1.37], [2.36, 4.87, 1.5], [0.21, 3.12, 1.45], [2.51, 2.78, 1.66], [0.0, 0.0, 0.0], [2.58, -0.12, 1.05], [0.0, 0.0, 0.0], [2.59, 4.43, 0.79], [0.2, 2.87, 1.28], [2.5, 3.06, 1.06]]
20:03:21.684 XYZ [[2.93, -1.7, 1.34], [2.35, 4.83, 1.48], [0.2, 3.01, 1.48], [2.52, 2.84, 1.67], [0.0, 0.0, 0.0], [2.58, -0.14, 1.03], [0.0, 0.0, 0.0], [2.57, 4.41, 0.76], [0.21, 2.72, 1.26], [2.49, 3.11, 1.06]]
20:03:21.768 XYZ [[2.9, -1.7, 1.31], [2.35, 4.83, 1.48], [0.2, 3.01, 1.48], [2.52, 2.84, 1.67], [0.0, 0.0, 0.0], [2.6, -0.15, 1.01], [0.0, 0.0, 0.0], [2.56, 4.4, 0.74], [0.22, 2.68, 1.27], [2.47, 3.12, 1.06]]
20:03:21.852 XYZ [[2.88, -1.81, 1.27], [2.34, 4.81, 1.48], [0.26, 2.82, 1.46], [2.55, 2.93, 1.61], [0.0, 0.0, 0.0], [2.6, -0.09, 1.03], [0.0, 0.0, 0.0], [2.52, 4.36, 0.73], [0.22, 2.64, 1.27], [2.44, 3.19, 1.07]]
20:03:21.941 XYZ [[2.89, -1.8, 1.29], [2.35, 4.77, 1.48], [0.24, 2.78, 1.43], [2.56, 2.99, 1.6], [0.0, 0.0, 0.0], [2.62, -0.05, 1.03], [0.0, 0.0, 0.0], [2.5, 4.33, 0.74], [0.26, 2.57, 1.29], [2.42, 3.24, 1.11]]
20:03:22.024 XYZ [[2.88, -1.81, 1.29], [2.35, 4.72, 1.5], [0.24, 2.76, 1.44], [2.57, 3.03, 1.62], [0.0, 0.0, 0.0], [2.64, 0.0, 1.05], [0.0, 0.0, 0.0], [2.53, 4.3, 0.74], [0.29, 2.52, 1.3], [2.46, 3.24, 1.13]]
20:03:22.107 XYZ [[2.89, -1.94, 1.28], [2.39, 4.67, 1.47], [0.34, 2.61, 1.41], [2.57, 3.13, 1.64], [0.0, 0.0, 0.0], [2.65, 0.05, 1.05], [0.0, 0.0, 0.0], [2.55, 4.27, 0.73], [0.31, 2.44, 1.28], [2.5, 3.35, 1.09]]
20:03:22.191 XYZ [[2.9, -1.97, 1.27], [2.4, 4.68, 1.48], [0.4, 2.58, 1.39], [2.57, 3.18, 1.65], [0.0, 0.0, 0.0], [2.66, 0.05, 1.05], [0.0, 0.0, 0.0], [2.57, 4.26, 0.73], [0.31, 2.41, 1.27], [2.52, 3.39, 1.09]]
