17:31:20.146 XYZ [[1.98, 1.9, 1.6], [4.4, 5.6, 1.48], [3.0, 6.2, 1.73], [0.91, 3.62, 1.54], [0.86, 2.69, 1.69], [0.94, 4.75, 1.51], [4.67, 2.81, 1.46], [4.67, 4.08, 1.99], [4.33, 1.97, 1.47], [1.85, 6.02, 1.7]]
17:31:20.230 XYZ [[2.01, 1.89, 1.58], [4.4, 5.62, 1.44], [3.0, 6.2, 1.73], [0.9, 3.65, 1.53], [0.88, 2.67, 1.67], [0.9, 4.76, 1.49], [4.69, 2.83, 1.51], [4.67, 4.08, 2.0], [4.32, 1.99, 1.47], [1.81, 6.03, 1.67]]
17:31:20.313 XYZ [[2.01, 1.89, 1.57], [4.45, 5.58, 1.43], [3.0, 6.2, 1.73], [0.9, 3.66, 1.57], [1.0, 2.66, 1.71], [0.89, 4.75, 1.46], [4.68, 2.84, 1.52], [4.67, 4.09, 2.0], [4.33, 2.01, 1.47], [1.82, 6.03, 1.66]]
17:31:20.397 XYZ [[2.0, 1.9, 1.56], [4.52, 5.5, 1.57], [3.0, 6.2, 1.73], [0.9, 3.69, 1.6], [1.0, 2.68, 1.69], [0.88, 4.76, 1.43], [4.69, 2.82, 1.54], [4.67, 4.1, 2.02], [4.33, 1.94, 1.49], [1.81, 6.02, 1.64]]
17:31:20.480 XYZ [[1.92, 1.87, 1.63], [4.48, 5.49, 1.77], [3.0, 6.2, 1.73], [0.89, 3.7, 1.61], [1.03, 2.66, 1.68], [0.83, 4.75, 1.46], [4.74, 2.83, 1.52], [4.66, 4.11, 1.97], [4.3, 1.93, 1.52], [1.76, 6.02, 1.62]]
17:31:20.564 XYZ [[1.92, 1.86, 1.64], [4.48, 5.47, 1.8], [3.0, 6.2, 1.73], [0.92, 3.71, 1.62], [1.09, 2.63, 1.66], [0.83, 4.76, 1.49], [4.79, 2.83, 1.54], [4.71, 4.09, 1.92], [4.28, 1.93, 1.51], [1.76, 6.02, 1.62]]
17:31:20.647 XYZ [[1.94, 1.87, 1.63], [4.51, 5.49, 1.78], [3.0, 6.2, 1.73], [0.94, 3.74, 1.64], [1.12, 2.65, 1.62], [0.83, 4.76, 1.5], [4.89, 2.82, 1.56], [4.69, 4.09, 1.94], [4.3, 1.92, 1.56], [1.77, 6.0, 1.61]]
17:31:20.731 XYZ [[1.95, 1.86, 1.62], [4.51, 5.48, 1.73], [3.0, 6.2, 1.73], [0.94, 3.74, 1.65], [1.12, 2.65, 1.62], [0.85, 4.75, 1.5], [4.98, 2.82, 1.58], [4.66, 4.07, 1.93], [4.31, 1.9, 1.55], [1.77, 6.0, 1.61]]
17:31:20.814 XYZ [[1.95, 1.87, 1.62], [4.54, 5.47, 1.71], [3.0, 6.2, 1.73], [0.96, 3.76, 1.68], [1.15, 2.67, 1.57], [0.84, 4.74, 1.5], [5.06, 2.82, 1.62], [4.65, 4.07, 1.94], [4.32, 1.92, 1.5], [1.77, 6.0, 1.58]]
17:31:20.898 XYZ [[1.99, 1.88, 1.62], [4.54, 5.47, 1.7], [3.04, 6.18, 1.75], [0.96, 3.75, 1.69], [1.19, 2.65, 1.57], [0.85, 4.73, 1.5], [5.08, 2.82, 1.62], [4.72, 4.03, 1.92], [4.34, 1.93, 1.5], [1.79, 6.0, 1.6]]
