19:04:06.801 XYZ [[1.52, 2.57, 1.53], [3.43, 1.05, 1.47], [3.24, 3.5, 1.37], [2.45, 4.31, 1.48], [1.8, 4.26, 1.57]]
19:04:06.885 XYZ [[1.6, 2.59, 1.56], [3.4, 1.0, 1.47], [3.25, 3.48, 1.36], [2.45, 4.31, 1.49], [1.8, 4.25, 1.56]]
19:04:06.968 XYZ [[1.63, 2.61, 1.56], [3.38, 0.94, 1.47], [3.26, 3.48, 1.37], [2.45, 4.29, 1.49], [1.8, 4.23, 1.55]]
19:04:07.052 XYZ [[1.72, 2.65, 1.57], [3.36, 0.89, 1.49], [3.26, 3.45, 1.39], [2.43, 4.29, 1.48], [1.78, 4.21, 1.55]]
19:04:07.135 XYZ [[1.79, 2.69, 1.6], [3.33, 0.83, 1.48], [3.25, 3.42, 1.37], [2.41, 4.29, 1.48], [1.76, 4.18, 1.56]]
19:04:07.219 XYZ [[1.82, 2.71, 1.61], [3.35, 0.72, 1.5], [3.24, 3.4, 1.38], [2.41, 4.28, 1.48], [1.75, 4.16, 1.56]]
19:04:07.302 XYZ [[1.88, 2.72, 1.63], [3.36, 0.69, 1.49], [3.24, 3.34, 1.42], [2.41, 4.28, 1.47], [1.71, 4.12, 1.56]]
19:04:07.386 XYZ [[1.91, 2.73, 1.63], [3.36, 0.64, 1.47], [3.25, 3.31, 1.41], [2.41, 4.27, 1.48], [1.7, 4.11, 1.56]]
19:04:07.469 XYZ [[1.95, 2.72, 1.59], [3.39, 0.59, 1.5], [3.26, 3.29, 1.4], [2.38, 4.26, 1.51], [1.69, 4.07, 1.56]]
19:04:07.553 XYZ [[2.02, 2.7, 1.57], [3.4, 0.54, 1.51], [3.24, 3.26, 1.39], [2.38, 4.25, 1.51], [1.65, 4.02, 1.59]]
19:04:07.636 XYZ [[2.05, 2.69, 1.56], [3.45, 0.47, 1.52], [3.26, 3.21, 1.35], [2.36, 4.23, 1.52], [1.62, 4.01, 1.6]]
19:04:07.720 XYZ [[2.1, 2.67, 1.54], [3.49, 0.36, 1.54], [3.28, 3.21, 1.39], [2.36, 4.21, 1.53], [1.61, 4.02, 1.58]]
19:04:07.803 XYZ [[2.15, 2.66, 1.54], [3.49, 0.3, 1.54], [3.32, 3.19, 1.41], [2.35, 4.21, 1.54], [1.61, 4.0, 1.54]]
19:04:07.887 XYZ [[2.2, 2.66, 1.53], [3.49, 0.19, 1.54], [3.34, 3.19, 1.42], [2.33, 4.21, 1.53], [1.58, 3.98, 1.51]]
19:04:07.970 XYZ [[2.26, 2.65, 1.52], [3.51, 0.08, 1.53], [3.34, 3.19, 1.43], [2.31, 4.23, 1.51], [1.57, 3.97, 1.51]]
19:04:08.053 XYZ [[2.3, 2.65, 1.55], [3.52, 0.02, 1.53], [3.32, 3.2, 1.46], [2.3, 4.26, 1.49], [1.56, 3.96, 1.51]]
19:04:08.137 XYZ [[2.31, 2.65, 1.53], [3.52, -0.07, 1.54], [3.3, 3.21, 1.48], [2.3, 4.27, 1.49], [1.55, 3.95, 1.52]]
19:04:08.220 XYZ [[2.32, 2.65, 1.51], [3.52, -0.17, 1.53], [3.23, 3.23, 1.49], [2.29, 4.29, 1.5], [1.56, 3.95, 1.53]]
19:04:08.307 XYZ [[2.35, 2.68, 1.49], [3.49, -0.21, 1.51], [3.15, 3.27, 1.51], [2.31, 4.29, 1.48], [1.58, 3.93, 1.54]]
19:04:08.390 XYZ [[2.33, 2.71, 1.48], [3.43, -0.31, 1.48], [3.1, 3.32, 1.53], [2.32, 4.31, 1.45], [1.59, 3.91, 1.53]]
19:04:08.474 XYZ [[2.32, 2.72, 1.51], [3.4, -0.37, 1.48], [3.05, 3.39, 1.53], [2.32, 4.31, 1.44], [1.6, 3.9, 1.53]]
19:04:08.557 XYZ [[2.29, 2.74, 1.49], [3.35, -0.45, 1.49], [3.03, 3.41, 1.55], [2.32, 4.3, 1.41], [1.62, 3.88, 1.53]]
19:04:08.641 XYZ [[2.25, 2.75, 1.46], [3.3, -0.53, 1.49], [2.98, 3.47, 1.53], [2.32, 4.3, 1.4], [1.65, 3.83, 1.54]]
19:04:08.724 XYZ [[2.23, 2.74, 1.46], [3.27, -0.63, 1.53], [2.93, 3.51, 1.48], [2.33, 4.3, 1.4], [1.66, 3.81, 1.53]]
19:04:08.807 XYZ [[2.19, 2.75, 1.45], [3.23, -0.74, 1.53], [2.9, 3.5, 1.46], [2.32, 4.31, 1.38], [1.68, 3.78, 1.55]]
19:04:08.891 XYZ [[2.13, 2.76, 1.42], [3.22, -0.79, 1.56], [2.87, 3.49, 1.48], [2.34, 4.3, 1.38], [1.67, 3.74, 1.57]]
19:04:08.974 XYZ [[2.09, 2.76, 1.42], [3.2, -0.86, 1.56], [2.87, 3.49, 1.47], [2.34, 4.31, 1.37], [1.67, 3.72, 1.58]]
19:04:09.058 XYZ [[2.04, 2.76, 1.44], [3.19, -0.88, 1.58], [2.86, 3.45, 1.48], [2.35, 4.3, 1.37], [1.67, 3.69, 1.58]]
19:04:09.141 XYZ [[2.0, 2.75, 1.43], [3.21, -0.95, 1.6], [2.88, 3.44, 1.48], [2.35, 4.29, 1.37], [1.67, 3.67, 1.57]]
19:04:09.225 XYZ [[2.0, 2.72, 1.41], [3.22, -1.01, 1.62], [2.9, 3.43, 1.44], [2.38, 4.28, 1.41], [1.66, 3.64, 1.58]]
19:04:09.308 XYZ [[1.99, 2.71, 1.41], [3.17, -1.11, 1.62], [2.91, 3.43, 1.42], [2.38, 4.27, 1.43], [1.66, 3.62, 1.56]]
19:04:09.392 XYZ [[1.98, 2.7, 1.38], [3.18, -1.19, 1.62], [2.96, 3.4, 1.39], [2.38, 4.26, 1.43], [1.67, 3.58, 1.58]]
19:04:09.475 XYZ [[1.97, 2.7, 1.36], [3.18, -1.29, 1.65], [3.05, 3.39, 1.37], [2.39, 4.25, 1.45], [1.66, 3.56, 1.58]]
19:04:09.559 XYZ [[1.95, 2.7, 1.32], [3.15, -1.39, 1.65], [3.09, 3.42, 1.4], [2.37, 4.25, 1.45], [1.66, 3.55, 1.58]]
19:04:09.642 XYZ [[1.95, 2.69, 1.27], [3.13, -1.44, 1.68], [3.13, 3.45, 1.38], [2.39, 4.21, 1.5], [1.65, 3.55, 1.57]]
19:04:09.726 XYZ [[1.95, 2.7, 1.26], [3.09, -1.5, 1.66], [3.18, 3.5, 1.34], [2.37, 4.21, 1.49], [1.66, 3.56, 1.55]]
19:04:09.809 XYZ [[1.95, 2.7, 1.26], [3.05, -1.58, 1.66], [3.21, 3.54, 1.33], [2.36, 4.22, 1.51], [1.67, 3.57, 1.55]]
19:04:09.893 XYZ [[1.96, 2.71, 1.24], [3.05, -1.61, 1.66], [3.25, 3.59, 1.32], [2.35, 4.23, 1.49], [1.66, 3.6, 1.57]]
19:04:09.976 XYZ [[1.98, 2.75, 1.22], [3.07, -1.64, 1.68], [3.32, 3.62, 1.3], [2.35, 4.25, 1.48], [1.66, 3.63, 1.57]]
19:04:10.061 XYZ [[1.99, 2.77, 1.23], [3.07, -1.64, 1.73], [3.36, 3.63, 1.29], [2.35, 4.26, 1.49], [1.66, 3.65, 1.57]]
19:04:10.144 XYZ [[1.99, 2.79, 1.22], [3.05, -1.67, 1.73], [3.41, 3.62, 1.33], [2.37, 4.26, 1.48], [1.66, 3.69, 1.61]]
19:04:10.228 XYZ [[2.0, 2.81, 1.22], [3.01, -1.67, 1.73], [3.44, 3.61, 1.38], [2.38, 4.27, 1.47], [1.65, 3.71, 1.61]]
19:04:10.311 XYZ [[2.0, 2.85, 1.22], [2.99, -1.65, 1.77], [3.45, 3.6, 1.37], [2.41, 4.28, 1.48], [1.64, 3.73, 1.61]]
19:04:10.394 XYZ [[2.01, 2.89, 1.23], [2.98, -1.64, 1.8], [3.52, 3.57, 1.39], [2.43, 4.28, 1.49], [1.63, 3.76, 1.62]]
19:04:10.478 XYZ [[2.01, 2.93, 1.23], [2.95, -1.67, 1.81], [3.58, 3.52, 1.39], [2.46, 4.28, 1.51], [1.62, 3.79, 1.62]]
19:04:10.561 XYZ [[2.02, 2.92, 1.23], [2.94, -1.66, 1.81], [3.56, 3.46, 1.4], [2.48, 4.26, 1.53], [1.62, 3.8, 1.62]]
19:04:10.645 XYZ [[2.02, 2.93, 1.24], [2.92, -1.63, 1.82], [3.62, 3.37, 1.38], [2.46, 4.27, 1.5], [1.6, 3.82, 1.6]]
19:04:10.728 XYZ [[2.01, 2.92, 1.22], [2.88, -1.6, 1.8], [3.65, 3.31, 1.43], [2.47, 4.28, 1.49], [1.58, 3.83, 1.61]]
19:04:10.812 XYZ [[2.01, 2.92, 1.2], [2.87, -1.59, 1.8], [3.64, 3.31, 1.45], [2.46, 4.27, 1.53], [1.56, 3.85, 1.62]]
19:04:10.895 XYZ [[2.02, 2.92, 1.16], [2.85, -1.57, 1.78], [3.66, 3.29, 1.49], [2.48, 4.28, 1.55], [1.51, 3.86, 1.61]]
19:04:10.979 XYZ [[2.01, 2.91, 1.13], [2.89, -1.5, 1.76], [3.6, 3.33, 1.43], [2.48, 4.28, 1.55], [1.49, 3.86, 1.62]]
