00:45:20.081 XYZ [[2.33, 3.22, 1.61], [1.1, 3.7, 1.6], [2.72, 3.69, 1.91], [1.69, 5.33, 1.64], [0.0, 0.0, 0.0], [0.67, 4.32, 1.41], [1.21, 5.65, 1.6], [3.47, 4.03, 1.72], [0.96, 4.88, 2.0], [2.94, 4.65, 1.65]]
00:45:20.165 XYZ [[2.32, 3.22, 1.62], [1.1, 3.7, 1.6], [2.75, 3.74, 1.93], [1.69, 5.34, 1.63], [0.0, 0.0, 0.0], [0.68, 4.32, 1.45], [1.21, 5.65, 1.59], [3.47, 4.03, 1.69], [0.95, 4.85, 1.97], [2.94, 4.66, 1.65]]
00:45:20.248 XYZ [[2.33, 3.23, 1.61], [1.1, 3.69, 1.63], [2.75, 3.81, 1.91], [1.68, 5.33, 1.62], [0.0, 0.0, 0.0], [0.7, 4.33, 1.49], [1.23, 5.67, 1.6], [3.46, 3.98, 1.66], [0.94, 4.85, 1.94], [2.95, 4.65, 1.68]]
00:45:20.333 XYZ [[2.34, 3.22, 1.62], [1.11, 3.68, 1.63], [2.75, 3.84, 1.9], [1.67, 5.35, 1.63], [0.0, 0.0, 0.0], [0.73, 4.33, 1.51], [1.24, 5.68, 1.59], [3.46, 3.98, 1.64], [0.95, 4.85, 1.92], [2.94, 4.65, 1.68]]
00:45:20.419 XYZ [[2.33, 3.22, 1.62], [1.12, 3.66, 1.63], [2.75, 3.78, 1.99], [1.67, 5.35, 1.62], [0.0, 0.0, 0.0], [0.74, 4.35, 1.54], [1.24, 5.68, 1.64], [3.43, 3.97, 1.62], [0.93, 4.84, 1.89], [2.93, 4.66, 1.66]]
00:45:20.503 XYZ [[2.33, 3.22, 1.61], [1.11, 3.64, 1.66], [2.81, 3.7, 2.03], [1.68, 5.38, 1.63], [0.0, 0.0, 0.0], [0.72, 4.36, 1.56], [1.26, 5.69, 1.64], [3.42, 3.95, 1.56], [0.94, 4.83, 1.86], [2.93, 4.68, 1.66]]
00:45:20.586 XYZ [[2.31, 3.22, 1.59], [1.12, 3.61, 1.65], [2.83, 3.61, 1.98], [1.68, 5.38, 1.64], [0.0, 0.0, 0.0], [0.71, 4.37, 1.56], [1.25, 5.7, 1.65], [3.41, 3.93, 1.56], [0.95, 4.81, 1.88], [2.94, 4.68, 1.66]]
00:45:20.670 XYZ [[2.32, 3.23, 1.58], [1.14, 3.62, 1.63], [2.81, 3.61, 1.98], [1.68, 5.38, 1.64], [0.0, 0.0, 0.0], [0.68, 4.4, 1.56], [1.25, 5.69, 1.65], [3.4, 3.94, 1.58], [0.97, 4.82, 1.91], [2.96, 4.68, 1.69]]
00:45:20.753 XYZ [[2.3, 3.2, 1.58], [1.15, 3.63, 1.63], [2.8, 3.51, 1.97], [1.71, 5.41, 1.67], [0.0, 0.0, 0.0], [0.66, 4.46, 1.59], [1.24, 5.69, 1.66], [3.42, 3.95, 1.56], [0.99, 4.83, 1.95], [2.96, 4.68, 1.71]]
00:45:20.837 XYZ [[2.27, 3.17, 1.59], [1.16, 3.64, 1.65], [2.78, 3.39, 1.94], [1.72, 5.44, 1.7], [0.0, 0.0, 0.0], [0.66, 4.48, 1.58], [1.21, 5.67, 1.65], [3.41, 3.97, 1.58], [1.04, 4.84, 2.0], [2.96, 4.69, 1.69]]
00:45:20.920 XYZ [[2.26, 3.16, 1.59], [1.15, 3.65, 1.64], [2.77, 3.36, 1.93], [1.73, 5.46, 1.71], [0.0, 0.0, 0.0], [0.66, 4.48, 1.58], [1.21, 5.66, 1.66], [3.39, 3.97, 1.58], [1.07, 4.84, 1.99], [2.96, 4.68, 1.71]]
00:45:21.004 XYZ [[2.26, 3.15, 1.59], [1.15, 3.65, 1.63], [2.75, 3.24, 1.91], [1.75, 5.5, 1.73], [0.0, 0.0, 0.0], [0.66, 4.49, 1.59], [1.2, 5.66, 1.66], [3.4, 3.98, 1.58], [1.1, 4.85, 1.99], [2.96, 4.68, 1.71]]
00:45:21.097 XYZ [[2.26, 3.14, 1.59], [1.15, 3.66, 1.64], [2.71, 3.18, 1.89], [1.76, 5.49, 1.74], [0.0, 0.0, 0.0], [0.65, 4.51, 1.6], [1.2, 5.66, 1.66], [3.42, 4.01, 1.57], [1.09, 4.86, 1.95], [2.98, 4.68, 1.72]]
00:45:21.180 XYZ [[2.25, 3.14, 1.59], [1.15, 3.67, 1.65], [2.67, 3.11, 1.87], [1.78, 5.49, 1.76], [0.0, 0.0, 0.0], [0.65, 4.53, 1.58], [1.19, 5.64, 1.65], [3.47, 4.05, 1.6], [1.09, 4.88, 1.94], [2.99, 4.68, 1.74]]
00:45:21.264 XYZ [[2.25, 3.12, 1.61], [1.15, 3.67, 1.65], [2.68, 3.11, 1.87], [1.77, 5.48, 1.78], [0.0, 0.0, 0.0], [0.65, 4.55, 1.59], [1.19, 5.63, 1.63], [3.4, 4.0, 1.53], [1.09, 4.88, 1.94], [3.0, 4.68, 1.76]]
00:45:21.347 XYZ [[2.25, 3.13, 1.63], [1.16, 3.68, 1.65], [2.71, 3.09, 1.85], [1.75, 5.49, 1.79], [0.0, 0.0, 0.0], [0.66, 4.56, 1.58], [1.19, 5.61, 1.64], [3.33, 3.99, 1.55], [0.99, 4.86, 1.82], [3.01, 4.68, 1.76]]
00:45:21.431 XYZ [[2.24, 3.13, 1.64], [1.17, 3.69, 1.67], [2.74, 3.07, 1.85], [1.73, 5.49, 1.79], [0.0, 0.0, 0.0], [0.68, 4.57, 1.58], [1.18, 5.6, 1.65], [3.32, 3.97, 1.57], [0.96, 4.86, 1.76], [2.99, 4.68, 1.75]]
00:45:21.514 XYZ [[2.25, 3.13, 1.65], [1.16, 3.7, 1.68], [2.75, 3.03, 1.83], [1.71, 5.53, 1.79], [0.0, 0.0, 0.0], [0.7, 4.56, 1.57], [1.18, 5.58, 1.67], [3.33, 3.95, 1.63], [0.97, 4.83, 1.71], [3.0, 4.68, 1.75]]
00:45:21.598 XYZ [[2.25, 3.15, 1.64], [1.13, 3.71, 1.68], [2.74, 3.01, 1.84], [1.72, 5.53, 1.78], [0.0, 0.0, 0.0], [0.73, 4.55, 1.57], [1.2, 5.58, 1.66], [3.3, 3.93, 1.65], [0.95, 4.81, 1.66], [3.01, 4.69, 1.77]]
00:45:21.681 XYZ [[2.25, 3.18, 1.64], [1.11, 3.72, 1.66], [2.78, 3.01, 1.89], [1.7, 5.51, 1.81], [0.0, 0.0, 0.0], [0.72, 4.54, 1.58], [1.21, 5.58, 1.65], [3.28, 3.91, 1.66], [0.95, 4.83, 1.63], [3.01, 4.71, 1.78]]
00:45:21.765 XYZ [[2.26, 3.2, 1.62], [1.09, 3.72, 1.67], [2.78, 3.01, 1.89], [1.69, 5.5, 1.8], [0.0, 0.0, 0.0], [0.72, 4.54, 1.58], [1.21, 5.58, 1.65], [3.25, 3.9, 1.66], [0.95, 4.82, 1.61], [3.01, 4.71, 1.79]]
00:45:21.848 XYZ [[2.27, 3.25, 1.61], [1.06, 3.72, 1.67], [2.74, 3.13, 1.67], [1.64, 5.46, 1.85], [0.0, 0.0, 0.0], [0.72, 4.51, 1.57], [1.22, 5.59, 1.64], [3.2, 3.87, 1.7], [0.9, 4.83, 1.52], [3.04, 4.7, 1.81]]
00:45:21.932 XYZ [[2.27, 3.28, 1.63], [1.06, 3.72, 1.67], [2.72, 3.25, 1.67], [1.68, 5.42, 1.83], [0.0, 0.0, 0.0], [0.73, 4.49, 1.57], [1.22, 5.59, 1.65], [3.16, 3.87, 1.7], [0.92, 4.85, 1.47], [3.04, 4.68, 1.81]]
00:45:22.015 XYZ [[2.27, 3.3, 1.63], [1.05, 3.74, 1.66], [2.72, 3.29, 1.65], [1.65, 5.39, 1.79], [0.0, 0.0, 0.0], [0.74, 4.49, 1.57], [1.27, 5.61, 1.63], [3.17, 3.87, 1.7], [0.92, 4.85, 1.45], [3.04, 4.66, 1.78]]
