18:14:20.296 XYZ [[-0.03, 4.94, 0.53], [1.76, 3.12, 1.04], [4.86, 4.98, 1.71], [3.67, 6.14, 2.04], [8.36, 4.03, -3.85], [1.74, 4.29, 1.6], [2.17, 5.8, 1.46], [3.21, 2.94, 1.6], [4.48, 5.65, 1.61], [4.67, 3.49, 1.96]]
18:14:20.379 XYZ [[1.64, 5.23, 1.88], [1.76, 3.13, 1.06], [4.96, 4.94, 1.69], [3.67, 6.12, 2.03], [8.36, 4.03, -3.85], [1.72, 4.31, 1.62], [2.12, 5.79, 1.45], [3.21, 2.94, 1.6], [4.44, 5.66, 1.62], [4.61, 3.46, 1.99]]
18:14:20.463 XYZ [[1.64, 5.06, 1.65], [1.74, 3.11, 1.01], [4.94, 4.96, 1.7], [3.67, 6.09, 2.02], [8.36, 4.03, -3.85], [1.72, 4.31, 1.62], [2.15, 5.73, 1.47], [3.24, 2.91, 1.57], [4.46, 5.62, 1.69], [4.63, 3.44, 2.0]]
18:14:20.546 XYZ [[1.56, 5.01, 1.66], [1.74, 3.11, 0.98], [4.89, 4.97, 1.73], [3.64, 6.07, 2.08], [8.36, 4.03, -3.85], [1.7, 4.31, 1.61], [2.17, 5.69, 1.51], [3.24, 2.89, 1.64], [4.52, 5.56, 1.65], [4.61, 3.43, 2.02]]
18:14:20.630 XYZ [[1.45, 4.98, 1.36], [1.73, 3.12, 0.98], [4.87, 4.98, 1.78], [3.64, 6.07, 2.08], [8.36, 4.03, -3.85], [1.69, 4.3, 1.55], [2.18, 5.72, 1.51], [3.16, 2.91, 1.75], [4.51, 5.57, 1.65], [4.6, 3.42, 2.04]]
18:14:20.714 XYZ [[1.15, 4.95, 1.18], [1.73, 3.12, 0.96], [4.83, 5.0, 1.78], [3.61, 6.07, 2.05], [5.57, 4.12, -0.15], [1.69, 4.3, 1.55], [2.24, 5.74, 1.56], [3.12, 2.91, 1.81], [4.5, 5.56, 1.65], [4.61, 3.41, 2.04]]
18:14:20.797 XYZ [[1.04, 4.96, 1.18], [1.75, 3.12, 0.97], [4.85, 4.98, 1.8], [3.59, 6.06, 2.03], [6.09, 4.16, -0.75], [1.67, 4.3, 1.54], [2.28, 5.76, 1.61], [3.12, 2.88, 1.88], [4.5, 5.54, 1.59], [4.61, 3.42, 2.02]]
18:14:20.880 XYZ [[0.78, 4.96, 1.03], [1.75, 3.12, 0.97], [4.85, 4.98, 1.82], [3.6, 6.06, 2.03], [6.42, 4.2, -1.06], [1.67, 4.3, 1.55], [2.3, 5.77, 1.61], [3.13, 2.88, 1.84], [4.47, 5.55, 1.61], [4.6, 3.43, 2.01]]
18:14:20.964 XYZ [[0.28, 5.0, 0.71], [1.74, 3.14, 0.98], [4.91, 5.02, 1.85], [3.6, 6.06, 2.04], [6.82, 4.2, -1.57], [1.69, 4.32, 1.53], [2.35, 5.78, 1.63], [3.15, 2.86, 1.76], [4.48, 5.55, 1.61], [4.59, 3.41, 2.03]]
18:14:21.048 XYZ [[-0.02, 4.96, 0.54], [1.73, 3.13, 0.97], [4.93, 5.04, 1.78], [3.6, 6.08, 2.05], [5.79, 4.62, -3.21], [1.69, 4.31, 1.53], [2.37, 5.8, 1.64], [3.16, 2.85, 1.7], [4.53, 5.54, 1.57], [4.59, 3.41, 2.04]]
