19:02:22.548 XYZ [[2.39, 4.6, 1.5], [2.66, -0.59, 1.4], [3.38, 4.13, 1.58], [1.76, 3.06, 1.34], [1.59, 4.11, 1.42]]
19:02:22.632 XYZ [[2.4, 4.62, 1.51], [2.66, -0.59, 1.41], [3.38, 4.14, 1.6], [1.74, 3.01, 1.36], [1.6, 4.12, 1.43]]
19:02:22.715 XYZ [[2.41, 4.63, 1.52], [2.68, -0.62, 1.42], [3.38, 4.15, 1.61], [1.75, 2.98, 1.36], [1.6, 4.12, 1.43]]
19:02:22.799 XYZ [[2.41, 4.63, 1.5], [2.7, -0.61, 1.42], [3.37, 4.14, 1.59], [1.72, 2.93, 1.35], [1.64, 4.09, 1.44]]
19:02:22.882 XYZ [[2.4, 4.64, 1.51], [2.7, -0.62, 1.42], [3.36, 4.15, 1.59], [1.72, 2.87, 1.36], [1.64, 4.08, 1.43]]
19:02:22.965 XYZ [[2.4, 4.64, 1.51], [2.71, -0.66, 1.41], [3.35, 4.16, 1.6], [1.72, 2.84, 1.36], [1.63, 4.07, 1.45]]
19:02:23.049 XYZ [[2.4, 4.63, 1.51], [2.7, -0.67, 1.41], [3.36, 4.16, 1.61], [1.71, 2.79, 1.38], [1.62, 4.08, 1.45]]
19:02:23.132 XYZ [[2.41, 4.63, 1.5], [2.71, -0.68, 1.41], [3.35, 4.15, 1.62], [1.71, 2.77, 1.39], [1.62, 4.08, 1.47]]
19:02:23.216 XYZ [[2.41, 4.64, 1.51], [2.72, -0.72, 1.41], [3.35, 4.15, 1.62], [1.71, 2.74, 1.39], [1.61, 4.07, 1.49]]
19:02:23.299 XYZ [[2.41, 4.64, 1.5], [2.73, -0.71, 1.42], [3.35, 4.15, 1.6], [1.72, 2.73, 1.42], [1.61, 4.07, 1.49]]
19:02:23.383 XYZ [[2.42, 4.66, 1.48], [2.73, -0.72, 1.42], [3.36, 4.15, 1.61], [1.73, 2.72, 1.44], [1.62, 4.09, 1.48]]
19:02:23.466 XYZ [[2.44, 4.66, 1.48], [2.73, -0.73, 1.4], [3.36, 4.15, 1.6], [1.73, 2.72, 1.46], [1.59, 4.09, 1.49]]
19:02:23.550 XYZ [[2.46, 4.66, 1.48], [2.73, -0.75, 1.41], [3.35, 4.12, 1.61], [1.73, 2.72, 1.47], [1.59, 4.09, 1.49]]
19:02:23.633 XYZ [[2.49, 4.68, 1.46], [2.73, -0.77, 1.41], [3.31, 4.13, 1.63], [1.72, 2.73, 1.47], [1.58, 4.08, 1.51]]
