frame,type,psi
202,Unfiltered,-3.779343459696365
202,Filtered,-5.0
203,Unfiltered,-3.923324605705767
203,Filtered,-5.0
204,Unfiltered,-4.076124082938345
204,Filtered,-5.0
205,Unfiltered,-4.218203068520927
205,Filtered,-5.0
206,Unfiltered,-4.310875543327164
206,Filtered,-5.0
207,Unfiltered,-4.404273787824911
207,Filtered,-5.0
208,Unfiltered,-4.494619785096929
208,Filtered,-5.0
209,Unfiltered,-4.597220984552331
209,Filtered,-5.0
210,Unfiltered,-4.727036857314722
210,Filtered,-5.0
211,Unfiltered,-4.845618302911995
211,Filtered,-4.922809151455997
212,Unfiltered,-4.957062095772724
212,Filtered,-4.901340199342359
213,Unfiltered,-5.055150267199687
213,Filtered,-4.901340199342359
214,Unfiltered,-5.124945586201079
214,Filtered,-4.901340199342359
215,Unfiltered,-5.202691878479433
215,Filtered,-4.901340199342359
216,Unfiltered,-5.300123513204536
216,Filtered,-4.901340199342359
217,Unfiltered,-5.408875914766976
217,Filtered,-4.901340199342359
218,Unfiltered,-5.529224489879187
218,Filtered,-4.901340199342359
219,Unfiltered,-5.640395920527641
219,Filtered,-4.901340199342359
220,Unfiltered,-5.765560247211774
220,Filtered,-4.901340199342359
221,Unfiltered,-5.957567929008016
221,Filtered,-4.901340199342359
222,Unfiltered,-6.090476270048496
222,Filtered,-4.901340199342359
223,Unfiltered,-6.189065282461545
223,Filtered,-4.901340199342359
224,Unfiltered,-6.232328772312514
224,Filtered,-4.901340199342359
225,Unfiltered,-6.24806886120593
225,Filtered,-4.901340199342359
226,Unfiltered,-6.2555574696880285
226,Filtered,-4.901340199342359
227,Unfiltered,-6.256127643990152
227,Filtered,-4.901340199342359
228,Unfiltered,-6.26813213061394
228,Filtered,-4.901340199342359
229,Unfiltered,-6.304299376539443
229,Filtered,-4.901340199342359
230,Unfiltered,-6.370145368881012
230,Filtered,-4.901340199342359
231,Unfiltered,-6.46415132397804
231,Filtered,-4.901340199342359
232,Unfiltered,-6.501132567792224
232,Filtered,-4.901340199342359
233,Unfiltered,-6.518726747422708
233,Filtered,-4.901340199342359
234,Unfiltered,-6.521434194389717
234,Filtered,-4.901340199342359
235,Unfiltered,-6.491942136159562
235,Filtered,-4.901340199342359
236,Unfiltered,-6.489568304544905
236,Filtered,-4.901340199342359
237,Unfiltered,-6.453148783039364
237,Filtered,-4.901340199342359
238,Unfiltered,-6.404912384620545
238,Filtered,-4.901340199342359
239,Unfiltered,-6.344330014442364
239,Filtered,-4.901340199342359
240,Unfiltered,-6.059144218235373
240,Filtered,-4.901340199342359
241,Unfiltered,-5.9504906703404234
241,Filtered,-4.901340199342359
242,Unfiltered,-5.853363953064848
242,Filtered,-5.006106181486205
243,Unfiltered,-5.8101818016016455
243,Filtered,-5.090047926700382
244,Unfiltered,-5.840355021798368
244,Filtered,-5.163818732340256
245,Unfiltered,-5.963043459628897
245,Filtered,-5.251407695841984
246,Unfiltered,-6.156186566046488
246,Filtered,-5.354499713985756
