frame,type,psi
1,Unfiltered,-5
1,Filtered,-5.0
2,Unfiltered,-5
2,Filtered,-5.0
3,Unfiltered,-5
3,Filtered,-5.0
4,Unfiltered,-5
4,Filtered,-5.0
5,Unfiltered,-5
5,Filtered,-5.0
6,Unfiltered,-5
6,Filtered,-5.0
7,Unfiltered,-5
7,Filtered,-5.0
8,Unfiltered,-5
8,Filtered,-5.0
9,Unfiltered,-5
9,Filtered,-5.0
10,Unfiltered,-5
10,Filtered,-5.0
11,Unfiltered,-5
11,Filtered,-5.0
12,Unfiltered,-5
12,Filtered,-5.0
13,Unfiltered,-5
13,Filtered,-5.0
14,Unfiltered,-5
14,Filtered,-5.0
15,Unfiltered,-5
15,Filtered,-5.0
16,Unfiltered,-5
16,Filtered,-5.0
17,Unfiltered,-5
17,Filtered,-5.0
18,Unfiltered,-5
18,Filtered,-5.0
19,Unfiltered,-5
19,Filtered,-5.0
20,Unfiltered,-5
20,Filtered,-5.0
21,Unfiltered,-5
21,Filtered,-5.0
22,Unfiltered,-5
22,Filtered,-5.0
23,Unfiltered,-5
23,Filtered,-5.0
24,Unfiltered,-5
24,Filtered,-5.0
25,Unfiltered,-5
25,Filtered,-5.0
26,Unfiltered,-5
26,Filtered,-5.0
27,Unfiltered,-5
27,Filtered,-5.0
28,Unfiltered,-5
28,Filtered,-5.0
29,Unfiltered,-5
29,Filtered,-5.0
30,Unfiltered,-5
30,Filtered,-5.0
31,Unfiltered,-5
31,Filtered,-5.0
32,Unfiltered,-5
32,Filtered,-5.0
33,Unfiltered,-5
33,Filtered,-5.0
34,Unfiltered,-5
34,Filtered,-5.0
35,Unfiltered,-5
35,Filtered,-5.0
36,Unfiltered,-5
36,Filtered,-5.0
37,Unfiltered,-5
37,Filtered,-5.0
38,Unfiltered,-5
38,Filtered,-5.0
39,Unfiltered,-5
39,Filtered,-5.0
40,Unfiltered,-5
40,Filtered,-5.0
41,Unfiltered,-5
41,Filtered,-5.0
42,Unfiltered,-5
42,Filtered,-5.0
43,Unfiltered,-5
43,Filtered,-5.0
44,Unfiltered,-5
44,Filtered,-5.0
45,Unfiltered,-5
45,Filtered,-5.0
46,Unfiltered,-5
46,Filtered,-5.0
47,Unfiltered,-5
47,Filtered,-5.0
48,Unfiltered,-5
48,Filtered,-5.0
49,Unfiltered,-5
49,Filtered,-5.0
50,Unfiltered,-5
50,Filtered,-5.0
51,Unfiltered,-5
51,Filtered,-5.0
52,Unfiltered,-5
52,Filtered,-5.0
53,Unfiltered,-5
53,Filtered,-5.0
54,Unfiltered,-5
54,Filtered,-5.0
55,Unfiltered,-5
55,Filtered,-5.0
56,Unfiltered,-5
56,Filtered,-5.0
57,Unfiltered,-5
57,Filtered,-5.0
58,Unfiltered,-5
58,Filtered,-5.0
59,Unfiltered,-5
59,Filtered,-5.0
60,Unfiltered,-5
60,Filtered,-5.0
61,Unfiltered,-5
61,Filtered,-5.0
62,Unfiltered,-5
62,Filtered,-5.0
63,Unfiltered,-5
63,Filtered,-5.0
64,Unfiltered,-5
64,Filtered,-5.0
65,Unfiltered,-5
65,Filtered,-5.0
66,Unfiltered,-5
66,Filtered,-5.0
67,Unfiltered,-5
67,Filtered,-5.0
68,Unfiltered,-5
68,Filtered,-5.0
69,Unfiltered,-5
69,Filtered,-5.0
70,Unfiltered,-5
70,Filtered,-5.0
71,Unfiltered,-5
71,Filtered,-5.0
72,Unfiltered,-5
72,Filtered,-5.0
73,Unfiltered,-5
73,Filtered,-5.0
74,Unfiltered,-5
74,Filtered,-5.0
75,Unfiltered,-5
75,Filtered,-5.0
76,Unfiltered,-5
76,Filtered,-5.0
77,Unfiltered,-5
77,Filtered,-5.0
78,Unfiltered,-5
78,Filtered,-5.0
79,Unfiltered,-5
79,Filtered,-5.0
80,Unfiltered,-5
80,Filtered,-5.0
81,Unfiltered,-5
81,Filtered,-5.0
82,Unfiltered,-5
82,Filtered,-5.0
83,Unfiltered,-5
83,Filtered,-5.0
84,Unfiltered,-5
84,Filtered,-5.0
85,Unfiltered,-5
85,Filtered,-5.0
86,Unfiltered,-5
86,Filtered,-5.0
87,Unfiltered,-5
87,Filtered,-5.0
88,Unfiltered,-5
88,Filtered,-5.0
89,Unfiltered,-5
89,Filtered,-5.0
90,Unfiltered,-5
90,Filtered,-5.0
91,Unfiltered,-5
91,Filtered,-5.0
92,Unfiltered,-5
92,Filtered,-5.0
93,Unfiltered,-5
93,Filtered,-5.0
94,Unfiltered,-5
94,Filtered,-5.0
95,Unfiltered,-5
95,Filtered,-5.0
96,Unfiltered,-5
96,Filtered,-5.0
97,Unfiltered,-5
97,Filtered,-5.0
98,Unfiltered,-5
98,Filtered,-5.0
99,Unfiltered,-5
99,Filtered,-5.0
100,Unfiltered,-5
100,Filtered,-5.0
101,Unfiltered,-5
101,Filtered,-5.0
102,Unfiltered,-5
102,Filtered,-5.0
103,Unfiltered,-5
103,Filtered,-5.0
104,Unfiltered,-5
104,Filtered,-5.0
105,Unfiltered,-5
105,Filtered,-5.0
106,Unfiltered,-5
106,Filtered,-5.0
107,Unfiltered,-5
107,Filtered,-5.0
108,Unfiltered,-5
108,Filtered,-5.0
109,Unfiltered,-5
109,Filtered,-5.0
110,Unfiltered,-5
110,Filtered,-5.0
111,Unfiltered,-5
111,Filtered,-5.0
112,Unfiltered,-5
112,Filtered,-5.0
113,Unfiltered,-5
113,Filtered,-5.0
114,Unfiltered,-5
114,Filtered,-5.0
115,Unfiltered,-5
115,Filtered,-5.0
116,Unfiltered,-5
116,Filtered,-5.0
117,Unfiltered,-5
117,Filtered,-5.0
118,Unfiltered,-5
118,Filtered,-5.0
119,Unfiltered,-5
119,Filtered,-5.0
120,Unfiltered,-5
120,Filtered,-5.0
121,Unfiltered,-5
121,Filtered,-5.0
122,Unfiltered,-5
