Group,Segment,mean_psi,std_psi,mean_dist_cmass,std_mean_dist_cmass,mean_dist_nearest,std_mean_dist_nearest,var_angle,std_var_angle,vicsek_order,std_vicsek_order,Manual,Emerged,mean_beauty,std_mean_beauty
A_2,1,-2.446541905009146,0.4273703940440529,0.2211304165079205,0.04234324904288755,0.14543344945883732,0.02148899838727596,6.275370206243005,3.735642738294003,0.27078144366551277,0.14042992713063424,1,0,4.113636363636363,1.9791460349060002
A_2,2,-1.1585179566438246,0.8410101629222089,0.1867367146279819,0.007012323906404237,0.12167950435536043,0.009016708342478294,3.914421316765258,2.5482900221661215,0.21735578856475446,0.1009032619819802,1,0,5.5,2.096508725765123
A_2,3,-4.55930806887921,1.3602815913257473,0.1822536463236783,0.005900504003400414,0.10696889113404634,0.00744862889546819,4.949722584772599,3.143202526953484,0.18524893187000474,0.07556876254723505,1,0,6.25,1.8939929520263747
A_2,4,-5.521123091122657,2.743204868437092,0.1639528715310022,0.01468241953330471,0.10322426306624968,0.012525633907951111,5.969588263400181,3.772577476356436,0.2416796224044785,0.10994295290095289,1,0,5.159090909090909,1.9993392143077975
A_2,5,-4.62826156340728,3.729847439866466,0.20566728739634269,0.01644936811743197,0.12636987589342627,0.011809756984187956,5.305102505239298,3.592198808545563,0.20339473239887554,0.09296309055567137,1,0,5.113636363636363,2.0933550359539854
A_2,6,-3.734819700384874,2.4186035490577287,0.2546362054806214,0.017186617144583922,0.14873428692227503,0.018005793606466623,5.68553452229541,4.598011879452483,0.28879641251311816,0.1083626020182203,1,0,3.590909090909091,1.7694852992046812
A_2,7,-3.650016888064359,3.5409341247372765,0.2459940250422609,0.01216513885282279,0.1465975632519955,0.011953392932374308,4.738839164140688,4.081530566795279,0.3827204751246017,0.13840127055580534,1,0,3.227272727272727,1.7635012262691665
A_2,8,-4.458667130945232,1.479845431119325,0.22233004388248317,0.016798634658519877,0.11876275994268169,0.027299036987818253,3.456342145457534,2.47099282906244,0.2817629520259983,0.13858198320264578,1,0,3.1818181818181817,1.7688878028853658
A_2,9,-3.2872465001623894,2.4824132564571397,0.1861438031806296,0.018586413621676488,0.1112583065925264,0.013353363577002187,4.134798518888775,3.7819479447408524,0.3598825309111067,0.13231800094344126,1,0,4.363636363636363,2.080819484039536
A_2,10,-4.052817000878616,0.9040662984299311,0.2593296763851923,0.022854084647239616,0.14875257387408733,0.012390036078089074,4.565314405284466,3.600810735236474,0.31766315447889937,0.14777013485683965,1,0,3.4318181818181817,1.6621326630053257
A_2,11,-7.04984233731021,2.2496320559688123,0.23884530549959856,0.012191773121691037,0.13688851007351074,0.010262451530672699,4.671099640810799,3.7065189697542076,0.28363280623350856,0.13179267018276555,1,0,3.3636363636363638,1.7926323257687622
A_2,12,-4.868892005064072,1.8021778190196618,0.22330020047888968,0.023944805182475208,0.11483651032484156,0.01699807919025782,5.229005261510933,3.328962748152217,0.5176536270744926,0.18132379757376407,1,0,3.409090909090909,1.9207336512346527
A_2,13,-8.743191045241407,3.257211112801956,0.2145287739745017,0.02248202773937829,0.11800156183254425,0.015857861880456518,4.571914583031336,3.5120121879741806,0.3766781649576843,0.21113075192179911,1,0,3.6363636363636362,1.8183932223820771
A_2,14,-0.23879375130009914,1.76716004054466,0.24221700889430878,0.012637507060418116,0.11950327354331955,0.01234658220349288,3.422751883648257,3.6775984616512414,0.5913997593704311,0.1584621266902129,1,0,4.9772727272727275,2.172648542984328
A_2,15,-2.4469320812482667,3.0636308885394925,0.2058494480856203,0.01996032814934241,0.1136845864050442,0.010843769995822016,5.573049303134954,5.824187917524056,0.7580336372518275,0.08388136307139882,1,0,5.0,2.011594300028457
A_2,16,-8.683978070772623,1.56481246209165,0.20757762354786208,0.016872379603007436,0.09651393426751133,0.007893812245412198,1.7971682760872407,3.0951661327470648,0.817932304873302,0.06941780284937969,1,0,5.25,2.2321644517227854
A_2,17,-6.943176530645216,2.5284832565936566,0.17360020172931362,0.012257956280785444,0.08537491408104163,0.007049112617127363,1.083406186177812,1.763094200649502,0.8072039388447827,0.09205916622908647,1,0,4.75,2.2632041497080673
A_2,18,-6.288270035934518,1.6956930789317588,0.1942713014380459,0.01438203031959674,0.10032230293479284,0.010191444309302243,5.777264106435303,5.903143025458192,0.7481092546838647,0.15366636065253977,1,0,4.7272727272727275,2.061424618746411
A_2,19,-16.895645994011247,7.593251905143826,0.1992232596720627,0.019856331254223748,0.1259383699408239,0.006756187228986523,4.448370122832825,5.076264763451085,0.6239145570847632,0.0926830167471653,1,0,4.931818181818182,1.78361701062531
